is_addition,old_file_path,new_file_path,line_num,content
False,src/java/org/apache/commons/lang/CharSet.java,src/java/org/apache/commons/lang/CharSet.java,82,rotected static final Map COMMON = new HashMap();
True,src/java/org/apache/commons/lang/CharSet.java,src/java/org/apache/commons/lang/CharSet.java,82,"protected static final Map<String, CharSet> COMMON = new HashMap<String, CharSet>();"
False,src/java/org/apache/commons/lang/CharSet.java,src/java/org/apache/commons/lang/CharSet.java,95,rivate Set set = new HashSet();
True,src/java/org/apache/commons/lang/CharSet.java,src/java/org/apache/commons/lang/CharSet.java,95,private final Set<CharRange> set = new HashSet<CharRange>();
False,src/java/org/apache/commons/lang/CharSet.java,src/java/org/apache/commons/lang/CharSet.java,234,eturn (CharRange[]) set.toArray(new CharRange[set.size()]);
True,src/java/org/apache/commons/lang/CharSet.java,src/java/org/apache/commons/lang/CharSet.java,234,return set.toArray(new CharRange[set.size()]);
False,src/java/org/apache/commons/lang/CharSet.java,src/java/org/apache/commons/lang/CharSet.java,246,or (Iterator it = set.iterator(); it.hasNext();) {
False,src/java/org/apache/commons/lang/CharSet.java,src/java/org/apache/commons/lang/CharSet.java,247,harRange range = (CharRange) it.next();
True,src/java/org/apache/commons/lang/CharSet.java,src/java/org/apache/commons/lang/CharSet.java,246,for (Iterator<CharRange> it = set.iterator(); it.hasNext();) {
True,src/java/org/apache/commons/lang/CharSet.java,src/java/org/apache/commons/lang/CharSet.java,247,CharRange range = it.next();
