"contrast","estimate","SE","df","z.ratio","p.value","Winner","Loser"
"both,False,False,False,add - both,True,skip,True,add",-915.619230769231,175.182821557037,Inf,-5.22664963739677,0.00150517606673661,"both,False,False,False,add","both,True,skip,True,add"
"both,False,False,False,add - (both,True,skip,True,all-uni)",-877.884615384615,175.182821557037,Inf,-5.01124829239486,0.00440533765441042,"both,False,False,False,add","(both,True,skip,True,all-uni)"
"(both,False,False,False,all-sep) - both,True,skip,True,add",-972.592307692308,175.182821557037,Inf,-5.55187032066181,0.000264354168506675,"(both,False,False,False,all-sep)","both,True,skip,True,add"
"(both,False,False,False,all-sep) - (both,True,skip,True,all-uni)",-934.857692307692,175.182821557037,Inf,-5.3364689756599,0.000849480445714312,"(both,False,False,False,all-sep)","(both,True,skip,True,all-uni)"
"(both,False,False,False,all-uni) - both,True,skip,True,add",-906.134615384615,175.182821557037,Inf,-5.17250839626184,0.00198366986472043,"(both,False,False,False,all-uni)","both,True,skip,True,add"
"(both,False,False,False,all-uni) - (both,True,skip,True,all-uni)",-868.399999999999,175.182821557037,Inf,-4.95710705125993,0.00571013061926051,"(both,False,False,False,all-uni)","(both,True,skip,True,all-uni)"
"both,False,False,False,del - both,True,skip,True,add",-894.538461538461,175.182821557037,Inf,-5.10631381312243,0.0027646974583998,"both,False,False,False,del","both,True,skip,True,add"
"both,False,False,False,del - (both,True,skip,True,all-uni)",-856.803846153846,175.182821557037,Inf,-4.89091246812052,0.00779454248613587,"both,False,False,False,del","(both,True,skip,True,all-uni)"
"both,False,False,True,add - both,True,skip,True,add",-966.950000000001,175.182821557037,Inf,-5.51966221005965,0.0003159377248102,"both,False,False,True,add","both,True,skip,True,add"
"both,False,False,True,add - (both,True,skip,True,all-uni)",-929.215384615385,175.182821557037,Inf,-5.30426086505773,0.00100631797766415,"both,False,False,True,add","(both,True,skip,True,all-uni)"
"(both,False,False,True,all-sep) - both,True,skip,True,add",-1019.18846153846,175.182821557037,Inf,-5.81785618292846,5.78235696105933e-05,"(both,False,False,True,all-sep)","both,True,skip,True,add"
