contrast,estimate,SE,df,z.ratio,p.value,Winner,Loser
"both,False,False,False,add - both,False,skip,False,add",-257.780769230769,216.027070113149,inf,-1.19327993985083,1.0,"both,False,False,False,add","both,False,skip,False,add"
"both,False,False,False,add - (both,False,skip,False,all-sep)",-140.123076923077,216.027070113149,inf,-0.64863665858952,1.0,"both,False,False,False,add","(both,False,skip,False,all-sep)"
"both,False,False,False,add - (both,False,skip,False,all-uni)",-260.561538461538,216.027070113149,inf,-1.20615225825663,1.0,"both,False,False,False,add","(both,False,skip,False,all-uni)"
"both,False,False,False,add - both,False,skip,False,del",-246.438461538462,216.027070113149,inf,-1.14077583614583,1.0,"both,False,False,False,add","both,False,skip,False,del"
"both,False,False,False,add - both,True,False,False,add",-86.1346153846152,216.027070113149,inf,-0.398721397922493,1.0,"both,False,False,False,add","both,True,False,False,add"
"both,False,False,False,add - (both,True,False,False,all-uni)",-139.661538461538,216.027070113149,inf,-0.646500174206813,1.0,"both,False,False,False,add","(both,True,False,False,all-uni)"
"both,False,False,False,add - both,True,False,True,add",-721.984615384615,216.027070113149,inf,-3.34210251986688,0.826009590083475,"both,False,False,False,add","both,True,False,True,add"
"both,False,False,False,add - (both,True,False,True,all-sep)",-271.142307692307,216.027070113149,inf,-1.25513116273016,1.0,"both,False,False,False,add","(both,True,False,True,all-sep)"
"both,False,False,False,add - (both,True,False,True,all-uni)",-758.965384615385,216.027070113149,inf,-3.5132883310312,0.678531091497313,"both,False,False,False,add","(both,True,False,True,all-uni)"
"both,False,False,False,add - both,True,skip,False,add",-343.142307692308,216.027070113149,inf,-1.58842272643229,1.0,"both,False,False,False,add","both,True,skip,False,add"
"both,False,False,False,add - (both,True,skip,False,all-uni)",-393.553846153846,216.027070113149,inf,-1.82178023313334,1.0,"both,False,False,False,add","(both,True,skip,False,all-uni)"
"both,False,False,False,add - both,True,skip,True,add",-952.26923076923,216.027070113149,inf,-4.408101402618,0.0605110848526911,"both,False,False,False,add","both,True,skip,True,add"
"both,False,False,False,add - (both,True,skip,True,all-sep)",-441.784615384615,216.027070113149,inf,-2.04504285112611,0.999999999320981,"both,False,False,False,add","(both,True,skip,True,all-sep)"
"both,False,False,False,add - (both,True,skip,True,all-uni)",-985.211538461538,216.027070113149,inf,-4.56059297543364,0.0331282489033264,"both,False,False,False,add","(both,True,skip,True,all-uni)"
"both,False,False,False,add - both,True,True,False,add",-48.4499999999998,216.027070113149,inf,-0.224277448074554,1.0,"both,False,False,False,add","both,True,True,False,add"
"both,False,False,False,add - (both,True,True,False,all-uni)",-104.503846153846,216.027070113149,inf,-0.483753476354189,1.0,"both,False,False,False,add","(both,True,True,False,all-uni)"
"both,False,False,False,add - both,True,True,True,add",-585.173076923077,216.027070113149,inf,-2.70879513672328,0.998881769452938,"both,False,False,False,add","both,True,True,True,add"
"both,False,False,False,add - (both,True,True,True,all-sep)",-175.892307692308,216.027070113149,inf,-0.814214198249229,1.0,"both,False,False,False,add","(both,True,True,True,all-sep)"
"both,False,False,False,add - (both,True,True,True,all-uni)",-622.915384615385,216.027070113149,inf,-2.88350614711906,0.992000285967037,"both,False,False,False,add","(both,True,True,True,all-uni)"
"both,False,False,False,add - rank,False,skip,False,add",-257.780769230769,216.027070113149,inf,-1.19327993985083,1.0,"both,False,False,False,add","rank,False,skip,False,add"
"both,False,False,False,add - (rank,False,skip,False,all-sep)",-140.123076923077,216.027070113149,inf,-0.648636658589519,1.0,"both,False,False,False,add","(rank,False,skip,False,all-sep)"
"both,False,False,False,add - (rank,False,skip,False,all-uni)",-260.561538461538,216.027070113149,inf,-1.20615225825663,1.0,"both,False,False,False,add","(rank,False,skip,False,all-uni)"
"both,False,False,False,add - rank,False,skip,False,del",-246.438461538461,216.027070113149,inf,-1.14077583614583,1.0,"both,False,False,False,add","rank,False,skip,False,del"
"both,False,False,False,add - rank,True,False,False,add",-86.1346153846152,216.027070113149,inf,-0.398721397922493,1.0,"both,False,False,False,add","rank,True,False,False,add"
"both,False,False,False,add - (rank,True,False,False,all-uni)",-139.661538461538,216.027070113149,inf,-0.646500174206813,1.0,"both,False,False,False,add","(rank,True,False,False,all-uni)"
"both,False,False,False,add - rank,True,False,True,add",-721.984615384615,216.027070113149,inf,-3.34210251986688,0.826009590083475,"both,False,False,False,add","rank,True,False,True,add"
"both,False,False,False,add - (rank,True,False,True,all-sep)",-271.142307692308,216.027070113149,inf,-1.25513116273016,1.0,"both,False,False,False,add","(rank,True,False,True,all-sep)"
"both,False,False,False,add - (rank,True,False,True,all-uni)",-758.965384615385,216.027070113149,inf,-3.5132883310312,0.678531091497312,"both,False,False,False,add","(rank,True,False,True,all-uni)"
"both,False,False,False,add - rank,True,skip,False,add",-343.142307692307,216.027070113149,inf,-1.58842272643229,1.0,"both,False,False,False,add","rank,True,skip,False,add"
"both,False,False,False,add - (rank,True,skip,False,all-uni)",-393.553846153846,216.027070113149,inf,-1.82178023313334,1.0,"both,False,False,False,add","(rank,True,skip,False,all-uni)"
"both,False,False,False,add - rank,True,skip,True,add",-952.26923076923,216.027070113149,inf,-4.408101402618,0.0605110848526911,"both,False,False,False,add","rank,True,skip,True,add"
"both,False,False,False,add - (rank,True,skip,True,all-sep)",-441.784615384615,216.027070113149,inf,-2.04504285112611,0.999999999320981,"both,False,False,False,add","(rank,True,skip,True,all-sep)"
"both,False,False,False,add - (rank,True,skip,True,all-uni)",-985.211538461538,216.027070113149,inf,-4.56059297543364,0.0331282489033264,"both,False,False,False,add","(rank,True,skip,True,all-uni)"
"both,False,False,False,add - rank,True,True,False,add",-48.4499999999998,216.027070113149,inf,-0.224277448074554,1.0,"both,False,False,False,add","rank,True,True,False,add"
"both,False,False,False,add - (rank,True,True,False,all-uni)",-104.503846153846,216.027070113149,inf,-0.483753476354189,1.0,"both,False,False,False,add","(rank,True,True,False,all-uni)"
"both,False,False,False,add - rank,True,True,True,add",-585.173076923077,216.027070113149,inf,-2.70879513672328,0.998881769452938,"both,False,False,False,add","rank,True,True,True,add"
"both,False,False,False,add - (rank,True,True,True,all-sep)",-175.892307692308,216.027070113149,inf,-0.814214198249228,1.0,"both,False,False,False,add","(rank,True,True,True,all-sep)"
"both,False,False,False,add - (rank,True,True,True,all-uni)",-622.915384615384,216.027070113149,inf,-2.88350614711906,0.992000285967037,"both,False,False,False,add","(rank,True,True,True,all-uni)"
"both,False,False,False,add - score,False,skip,False,add",-257.780769230769,216.027070113149,inf,-1.19327993985083,1.0,"both,False,False,False,add","score,False,skip,False,add"
"both,False,False,False,add - (score,False,skip,False,all-sep)",-140.123076923077,216.027070113149,inf,-0.648636658589519,1.0,"both,False,False,False,add","(score,False,skip,False,all-sep)"
"both,False,False,False,add - (score,False,skip,False,all-uni)",-260.561538461538,216.027070113149,inf,-1.20615225825663,1.0,"both,False,False,False,add","(score,False,skip,False,all-uni)"
"both,False,False,False,add - score,False,skip,False,del",-246.438461538461,216.027070113149,inf,-1.14077583614583,1.0,"both,False,False,False,add","score,False,skip,False,del"
"both,False,False,False,add - score,True,False,False,add",-86.1346153846152,216.027070113149,inf,-0.398721397922493,1.0,"both,False,False,False,add","score,True,False,False,add"
"both,False,False,False,add - (score,True,False,False,all-uni)",-139.661538461538,216.027070113149,inf,-0.646500174206813,1.0,"both,False,False,False,add","(score,True,False,False,all-uni)"
"both,False,False,False,add - score,True,False,True,add",-721.984615384615,216.027070113149,inf,-3.34210251986688,0.826009590083475,"both,False,False,False,add","score,True,False,True,add"
"both,False,False,False,add - (score,True,False,True,all-sep)",-271.142307692308,216.027070113149,inf,-1.25513116273016,1.0,"both,False,False,False,add","(score,True,False,True,all-sep)"
"both,False,False,False,add - (score,True,False,True,all-uni)",-758.965384615384,216.027070113149,inf,-3.51328833103119,0.678531091497313,"both,False,False,False,add","(score,True,False,True,all-uni)"
"both,False,False,False,add - score,True,skip,False,add",-343.142307692307,216.027070113149,inf,-1.58842272643229,1.0,"both,False,False,False,add","score,True,skip,False,add"
"both,False,False,False,add - (score,True,skip,False,all-uni)",-393.553846153846,216.027070113149,inf,-1.82178023313334,1.0,"both,False,False,False,add","(score,True,skip,False,all-uni)"
