contrast,estimate,SE,df,z.ratio,p.value,Winner,Loser
"both,False,False,False,add - both,True,skip,True,add",-915.619230769231,175.182821557037,inf,-5.22664963739677,0.0015051760667366,"both,False,False,False,add","both,True,skip,True,add"
"both,False,False,False,add - (both,True,skip,True,all-uni)",-877.884615384615,175.182821557037,inf,-5.01124829239486,0.0044053376544104,"both,False,False,False,add","(both,True,skip,True,all-uni)"
"(both,False,False,False,all-sep) - both,True,skip,True,add",-972.592307692308,175.182821557037,inf,-5.55187032066181,0.0002643541685066,"(both,False,False,False,all-sep)","both,True,skip,True,add"
"(both,False,False,False,all-sep) - (both,True,skip,True,all-uni)",-934.857692307692,175.182821557037,inf,-5.3364689756599,0.0008494804457143,"(both,False,False,False,all-sep)","(both,True,skip,True,all-uni)"
"(both,False,False,False,all-uni) - both,True,skip,True,add",-906.134615384615,175.182821557037,inf,-5.17250839626184,0.0019836698647204,"(both,False,False,False,all-uni)","both,True,skip,True,add"
"(both,False,False,False,all-uni) - (both,True,skip,True,all-uni)",-868.399999999999,175.182821557037,inf,-4.95710705125993,0.0057101306192605,"(both,False,False,False,all-uni)","(both,True,skip,True,all-uni)"
"both,False,False,False,del - both,True,skip,True,add",-894.538461538461,175.182821557037,inf,-5.10631381312243,0.0027646974583998,"both,False,False,False,del","both,True,skip,True,add"
"both,False,False,False,del - (both,True,skip,True,all-uni)",-856.803846153846,175.182821557037,inf,-4.89091246812052,0.0077945424861358,"both,False,False,False,del","(both,True,skip,True,all-uni)"
"both,False,False,True,add - both,True,skip,True,add",-966.950000000001,175.182821557037,inf,-5.51966221005965,0.0003159377248102,"both,False,False,True,add","both,True,skip,True,add"
"both,False,False,True,add - (both,True,skip,True,all-uni)",-929.215384615385,175.182821557037,inf,-5.30426086505773,0.0010063179776641,"both,False,False,True,add","(both,True,skip,True,all-uni)"
"(both,False,False,True,all-sep) - both,True,skip,True,add",-1019.18846153846,175.182821557037,inf,-5.81785618292846,5.78235696105933e-05,"(both,False,False,True,all-sep)","both,True,skip,True,add"
"(both,False,False,True,all-sep) - (both,True,skip,True,all-uni)",-981.453846153846,175.182821557037,inf,-5.60245483792655,0.0001992901096465,"(both,False,False,True,all-sep)","(both,True,skip,True,all-uni)"
"(both,False,False,True,all-uni) - both,True,skip,True,add",-1047.76923076923,175.182821557037,inf,-5.98100442415863,2.18543124257398e-05,"(both,False,False,True,all-uni)","both,True,skip,True,add"
"(both,False,False,True,all-uni) - (both,True,skip,True,all-uni)",-1010.03461538462,175.182821557037,inf,-5.76560307915672,7.84592940004103e-05,"(both,False,False,True,all-uni)","(both,True,skip,True,all-uni)"
"both,False,False,True,del - both,True,skip,True,add",-1007.49230769231,175.182821557037,inf,-5.75109076756297,8.53512383700572e-05,"both,False,False,True,del","both,True,skip,True,add"
"both,False,False,True,del - (both,True,skip,True,all-uni)",-969.757692307692,175.182821557037,inf,-5.53568942256106,0.0002891665212928,"both,False,False,True,del","(both,True,skip,True,all-uni)"
"both,False,True,False,add - both,True,skip,True,add",-1012.60769230769,175.182821557037,inf,-5.78029103143541,7.20323720777571e-05,"both,False,True,False,add","both,True,skip,True,add"
"both,False,True,False,add - (both,True,skip,True,all-uni)",-974.873076923077,175.182821557037,inf,-5.5648896864335,0.0002458869529847,"both,False,True,False,add","(both,True,skip,True,all-uni)"
"(both,False,True,False,all-sep) - both,True,skip,True,add",-1107.30769230769,175.182821557037,inf,-6.32086914953112,2.6188693585949e-06,"(both,False,True,False,all-sep)","both,True,skip,True,add"
"(both,False,True,False,all-sep) - (both,True,skip,True,all-sep)",-795.869230769231,175.182821557037,inf,-4.54307804666856,0.0355815019368552,"(both,False,True,False,all-sep)","(both,True,skip,True,all-sep)"
"(both,False,True,False,all-sep) - (both,True,skip,True,all-uni)",-1069.57307692308,175.182821557037,inf,-6.10546780452921,1.01964500689444e-05,"(both,False,True,False,all-sep)","(both,True,skip,True,all-uni)"
"(both,False,True,False,all-uni) - both,True,skip,True,add",-991.526923076923,175.182821557037,inf,-5.65995520716108,0.0001440038243878,"(both,False,True,False,all-uni)","both,True,skip,True,add"
"(both,False,True,False,all-uni) - (both,True,skip,True,all-uni)",-953.792307692308,175.182821557037,inf,-5.44455386215917,0.0004763805948543,"(both,False,True,False,all-uni)","(both,True,skip,True,all-uni)"
"both,False,True,False,del - both,True,skip,True,add",-991.526923076923,175.182821557037,inf,-5.65995520716108,0.0001440038243878,"both,False,True,False,del","both,True,skip,True,add"
"both,False,True,False,del - (both,True,skip,True,all-uni)",-953.792307692308,175.182821557037,inf,-5.44455386215917,0.0004763805948543,"both,False,True,False,del","(both,True,skip,True,all-uni)"
"both,False,True,True,add - both,True,skip,True,add",-1095.84230769231,175.182821557037,inf,-6.25542103930274,3.9790226933345e-06,"both,False,True,True,add","both,True,skip,True,add"
"both,False,True,True,add - (both,True,skip,True,all-sep)",-784.403846153846,175.182821557037,inf,-4.47762993644017,0.0462329295886643,"both,False,True,True,add","(both,True,skip,True,all-sep)"
"both,False,True,True,add - (both,True,skip,True,all-uni)",-1058.10769230769,175.182821557037,inf,-6.04001969430083,1.52572912266447e-05,"both,False,True,True,add","(both,True,skip,True,all-uni)"
"(both,False,True,True,all-sep) - both,True,skip,True,add",-1104.58076923077,175.182821557037,inf,-6.30530299382769,2.89401147912649e-06,"(both,False,True,True,all-sep)","both,True,skip,True,add"
"(both,False,True,True,all-sep) - (both,True,skip,True,all-sep)",-793.142307692308,175.182821557037,inf,-4.52751189096513,0.037895774109474,"(both,False,True,True,all-sep)","(both,True,skip,True,all-sep)"
"(both,False,True,True,all-sep) - (both,True,skip,True,all-uni)",-1066.84615384615,175.182821557037,inf,-6.08990164882578,1.12269863711267e-05,"(both,False,True,True,all-sep)","(both,True,skip,True,all-uni)"
"(both,False,True,True,all-uni) - both,True,False,True,add",-827.719230769231,175.182821557037,inf,-4.72488811067435,0.0165038362683382,"(both,False,True,True,all-uni)","both,True,False,True,add"
"(both,False,True,True,all-uni) - (both,True,False,True,all-uni)",-792.492307692308,175.182821557037,inf,-4.52380148149562,0.0384667039790383,"(both,False,True,True,all-uni)","(both,True,False,True,all-uni)"
"(both,False,True,True,all-uni) - both,True,skip,True,add",-1165.06538461538,175.182821557037,inf,-6.65056867026231,2.97296906981437e-07,"(both,False,True,True,all-uni)","both,True,skip,True,add"
"(both,False,True,True,all-uni) - (both,True,skip,True,all-sep)",-853.626923076923,175.182821557037,inf,-4.87277756739974,0.008478226179059,"(both,False,True,True,all-uni)","(both,True,skip,True,all-sep)"
