"p.value","setting_1","setting_2","metric"
1,"git,0.5,add","(git,0.5,all-sep)","rank"
1,"git,0.5,add","(git,0.5,all-uni)","rank"
1,"git,0.5,add","git,0.5,del","rank"
1,"git,0.5,add","git,1,add","rank"
1,"git,0.5,add","(git,1,all-sep)","rank"
1,"git,0.5,add","(git,1,all-uni)","rank"
1,"git,0.5,add","git,1,del","rank"
1,"git,0.5,add","git,1.5,add","rank"
1,"git,0.5,add","(git,1.5,all-sep)","rank"
1,"git,0.5,add","(git,1.5,all-uni)","rank"
1,"git,0.5,add","git,1.5,del","rank"
1,"git,0.5,add","git,2,add","rank"
1,"git,0.5,add","(git,2,all-sep)","rank"
1,"git,0.5,add","(git,2,all-uni)","rank"
1,"git,0.5,add","git,2,del","rank"
1,"git,0.5,add","git,2.5,add","rank"
1,"git,0.5,add","(git,2.5,all-sep)","rank"
1,"git,0.5,add","(git,2.5,all-uni)","rank"
1,"git,0.5,add","git,2.5,del","rank"
1,"git,0.5,add","git,3,add","rank"
1,"git,0.5,add","(git,3,all-sep)","rank"
1,"git,0.5,add","(git,3,all-uni)","rank"
1,"git,0.5,add","git,3,del","rank"
1,"git,0.5,add","git,3.5,add","rank"
1,"git,0.5,add","(git,3.5,all-sep)","rank"
1,"git,0.5,add","(git,3.5,all-uni)","rank"
1,"git,0.5,add","git,3.5,del","rank"
1,"git,0.5,add","git,4,add","rank"
1,"git,0.5,add","(git,4,all-sep)","rank"
1,"git,0.5,add","(git,4,all-uni)","rank"
1,"git,0.5,add","git,4,del","rank"
1,"git,0.5,add","git,4.5,add","rank"
1,"git,0.5,add","(git,4.5,all-sep)","rank"
1,"git,0.5,add","(git,4.5,all-uni)","rank"
1,"git,0.5,add","git,4.5,del","rank"
1,"git,0.5,add","git,5,add","rank"
1,"git,0.5,add","(git,5,all-sep)","rank"
1,"git,0.5,add","(git,5,all-uni)","rank"
1,"git,0.5,add","git,5,del","rank"
1,"git,0.5,add","gumtree_base,0.5,add","rank"
1,"git,0.5,add","(gumtree_base,0.5,all-sep)","rank"
1,"git,0.5,add","(gumtree_base,0.5,all-uni)","rank"
1,"git,0.5,add","gumtree_base,0.5,del","rank"
1,"git,0.5,add","gumtree_base,1,add","rank"
1,"git,0.5,add","(gumtree_base,1,all-sep)","rank"
1,"git,0.5,add","(gumtree_base,1,all-uni)","rank"
1,"git,0.5,add","gumtree_base,1,del","rank"
1,"git,0.5,add","gumtree_base,1.5,add","rank"
