"p.value","setting_1","setting_2","metric"
0.999997519317417,"beta0.5","beta1","rank"
0.99696775330381,"beta0.5","beta1.5","rank"
0.999991708735807,"beta0.5","beta2","rank"
0.999998308553829,"beta0.5","beta2.5","rank"
0.992853213397207,"beta0.5","beta3","rank"
0.939373175381885,"beta0.5","beta3.5","rank"
0.562239733267059,"beta0.5","beta4","rank"
0.522270889424641,"beta0.5","beta4.5","rank"
0.50478892383663,"beta0.5","beta5","rank"
0.9999678347623,"beta1","beta1.5","rank"
1,"beta1","beta2","rank"
1,"beta1","beta2.5","rank"
0.999837912047422,"beta1","beta3","rank"
0.993248532449709,"beta1","beta3.5","rank"
0.80933586126048,"beta1","beta4","rank"
0.777459554836969,"beta1","beta4.5","rank"
0.762728666652133,"beta1","beta5","rank"
0.999988244816472,"beta1.5","beta2","rank"
0.999957982296705,"beta1.5","beta2.5","rank"
0.999999999966726,"beta1.5","beta3","rank"
0.999981124447752,"beta1.5","beta3.5","rank"
0.976803636514599,"beta1.5","beta4","rank"
0.968355632152938,"beta1.5","beta4.5","rank"
0.963993884578389,"beta1.5","beta5","rank"
0.999999999999165,"beta2","beta2.5","rank"
0.999927422826871,"beta2","beta3","rank"
0.995639226967145,"beta2","beta3.5","rank"
0.838722664065467,"beta2","beta4","rank"
0.809335861260479,"beta2","beta4.5","rank"
0.795622749857329,"beta2","beta5","rank"
0.999798877676494,"beta2.5","beta3","rank"
0.992392302491042,"beta2.5","beta3.5","rank"
0.800404604319488,"beta2.5","beta4","rank"
0.767855651967578,"beta2.5","beta4.5","rank"
0.752854662242118,"beta2.5","beta5","rank"
0.999997926293362,"beta3","beta3.5","rank"
0.988055599308851,"beta3","beta4","rank"
0.982881182337026,"beta3","beta4.5","rank"
0.980120551549372,"beta3","beta5","rank"
0.999551249527264,"beta3.5","beta4","rank"
0.999159415740967,"beta3.5","beta4.5","rank"
0.998912182667908,"beta3.5","beta5","rank"
1,"beta4","beta4.5","rank"
0.999999999997428,"beta4","beta5","rank"
1,"beta4.5","beta5","rank"
0.989188701117123,"beta0.5","beta1","num_iter"
0.997338920198659,"beta0.5","beta1.5","num_iter"
0.987999109721575,"beta0.5","beta2","num_iter"
0.210893901059793,"beta0.5","beta2.5","num_iter"
0.51869605007767,"beta0.5","beta3","num_iter"
0.908660167691787,"beta0.5","beta3.5","num_iter"
0.992635297337093,"beta0.5","beta4","num_iter"
0.997203386455556,"beta0.5","beta4.5","num_iter"
0.992786640572774,"beta0.5","beta5","num_iter"
0.999999996446024,"beta1","beta1.5","num_iter"
1,"beta1","beta2","num_iter"
0.862924636646919,"beta1","beta2.5","num_iter"
0.987829186679544,"beta1","beta3","num_iter"
0.999994893868664,"beta1","beta3.5","num_iter"
1,"beta1","beta4","num_iter"
0.999999997324517,"beta1","beta4.5","num_iter"
1,"beta1","beta5","num_iter"
0.999999992575211,"beta1.5","beta2","num_iter"
0.767013082276068,"beta1.5","beta2.5","num_iter"
0.964858335549557,"beta1.5","beta3","num_iter"
0.999884257917035,"beta1.5","beta3.5","num_iter"
0.999999999855895,"beta1.5","beta4","num_iter"
1,"beta1.5","beta4.5","num_iter"
0.999999999882377,"beta1.5","beta5","num_iter"
0.869890216105172,"beta2","beta2.5","num_iter"
0.989032231990031,"beta2","beta3","num_iter"
0.999996349847284,"beta2","beta3.5","num_iter"
0.999999999999417,"beta2","beta4","num_iter"
0.999999994279895,"beta2","beta4.5","num_iter"
0.999999999999114,"beta2","beta5","num_iter"
0.999969109116338,"beta2.5","beta3","num_iter"
0.978004463314481,"beta2.5","beta3.5","num_iter"
0.836882960666378,"beta2.5","beta4","num_iter"
0.770390290868218,"beta2.5","beta4.5","num_iter"
0.835460803793196,"beta2.5","beta5","num_iter"
0.999714776049868,"beta3","beta3.5","num_iter"
0.982779590639421,"beta3","beta4","num_iter"
0.965873946159017,"beta3","beta4.5","num_iter"
0.982478647319399,"beta3","beta5","num_iter"
0.999985023647427,"beta3.5","beta4","num_iter"
0.999893209167464,"beta3.5","beta4.5","num_iter"
0.999984222236884,"beta3.5","beta5","num_iter"
0.999999999904448,"beta4","beta4.5","num_iter"
1,"beta4","beta5","num_iter"
0.999999999922751,"beta4.5","beta5","num_iter"
