is_addition,old_file_path,new_file_path,line_num,content
False,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,586,"bstract long getDateMidnightMillis(int year, int monthOfYear, int dayOfMonth);"
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,586,"long getDateMidnightMillis(int year, int monthOfYear, int dayOfMonth) {"
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,587,"FieldUtils.verifyValueBounds(DateTimeFieldType.year(), year, getMinYear(), getMaxYear());"
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,588,"FieldUtils.verifyValueBounds(DateTimeFieldType.monthOfYear(), monthOfYear, 1, getMaxMonth(year));"
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,589,"FieldUtils.verifyValueBounds(DateTimeFieldType.dayOfMonth(), dayOfMonth, 1, getDaysInYearMonth(year, monthOfYear));"
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,590,"return getYearMonthDayMillis(year, monthOfYear, dayOfMonth);"
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,638,* Gets the millisecond value of the first day of the year.
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,640,* @return the milliseconds for the first of the year
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,645,* Gets the minimum supported year.
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,647,* @return the year
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,652,* Gets the maximum supported year.
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,654,* @return the year
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,659,* Gets the maximum month for the specified year.
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,660,* This implementation calls getMaxMonth().
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,662,* @param year  the year
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,663,* @return the maximum month value
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,665,int getMaxMonth(int year) {
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,666,return getMaxMonth();
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,670,* Gets the maximum number of months.
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,672,* @return 12
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,674,int getMaxMonth() {
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,675,return 12;
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,679,* Gets an average value for the milliseconds per year.
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,681,* @return the millis per year
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,686,* Gets an average value for the milliseconds per month.
True,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BaseGJChronology.java,688,* @return the millis per month
False,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,20,mport org.joda.time.DateTimeFieldType;
False,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,23,mport org.joda.time.field.FieldUtils;
False,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,113,"ong getDateMidnightMillis(int year, int monthOfYear, int dayOfMonth) {"
False,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,114,"ieldUtils.verifyValueBounds(DateTimeFieldType.year(), year, getMinYear(), getMaxYear());"
False,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,115,"ieldUtils.verifyValueBounds(DateTimeFieldType.monthOfYear(), monthOfYear, 1, 13);"
False,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,116,"ieldUtils.verifyValueBounds(DateTimeFieldType.dayOfMonth(), dayOfMonth, 1, getDaysInYearMonth(year, monthOfYear));"
False,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,117,"eturn getYearMonthDayMillis(year, monthOfYear, dayOfMonth);"
True,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,148,int getMaxMonth() {
True,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicFixedMonthChronology.java,149,return 13;
False,JodaTime/src/java/org/joda/time/chrono/BasicGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicGJChronology.java,140,"ong getDateMidnightMillis(int year, int monthOfYear, int dayOfMonth) {"
False,JodaTime/src/java/org/joda/time/chrono/BasicGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicGJChronology.java,141,"ieldUtils.verifyValueBounds(DateTimeFieldType.year(), year, getMinYear(), getMaxYear());"
False,JodaTime/src/java/org/joda/time/chrono/BasicGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicGJChronology.java,142,"ieldUtils.verifyValueBounds(DateTimeFieldType.monthOfYear(), monthOfYear, 1, 12);"
False,JodaTime/src/java/org/joda/time/chrono/BasicGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicGJChronology.java,143,"ieldUtils.verifyValueBounds(DateTimeFieldType.dayOfMonth(), dayOfMonth, 1, getDaysInYearMonth(year, monthOfYear));"
False,JodaTime/src/java/org/joda/time/chrono/BasicGJChronology.java,JodaTime/src/java/org/joda/time/chrono/BasicGJChronology.java,144,"eturn getYearMonthDayMillis(year, monthOfYear, dayOfMonth);"
