is_addition,old_file_path,new_file_path,line_num,content
False,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,65,"xt = txt.replace(""e$"", """");             // 2.0 only"
True,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,65,"txt = txt.replaceAll(""e$"", """");             // 2.0 only"
False,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,68,"xt = txt.replace(""^cough"", ""cou2f"");"
False,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,69,"xt = txt.replace(""^rough"", ""rou2f"");"
False,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,70,"xt = txt.replace(""^tough"", ""tou2f"");"
False,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,71,"xt = txt.replace(""^enough"", ""enou2f"");  // 2.0 only"
False,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,72,"xt = txt.replace(""^trough"", ""trou2f"");  // 2.0 only - note the spec says ^enough here again, c+p error I assume"
False,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,73,"xt = txt.replace(""^gn"", ""2n"");"
False,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,74,"xt = txt.replace(""^mb"", ""m2"");"
True,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,68,"txt = txt.replaceAll(""^cough"", ""cou2f"");"
True,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,69,"txt = txt.replaceAll(""^rough"", ""rou2f"");"
True,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,70,"txt = txt.replaceAll(""^tough"", ""tou2f"");"
True,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,71,"txt = txt.replaceAll(""^enough"", ""enou2f"");  // 2.0 only"
True,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,72,"txt = txt.replaceAll(""^trough"", ""trou2f"");  // 2.0 only - note the spec says ^enough here again, c+p error I assume"
True,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,73,"txt = txt.replaceAll(""^gn"", ""2n"");"
True,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,74,"txt = txt.replaceAll(""^mb"", ""m2"");"
False,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,94,"xt = txt.replace(""^[aeiou]"", ""A"");"
True,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,94,"txt = txt.replaceAll(""^[aeiou]"", ""A"");"
False,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,116,"xt = txt.replace(""^h"", ""A"");"
True,src/java/org/apache/commons/codec/language/Caverphone.java,src/java/org/apache/commons/codec/language/Caverphone.java,116,"txt = txt.replaceAll(""^h"", ""A"");"
