"Test","contrast","estimate","SE","df","z.ratio","p.value","setting_1","setting_2"
"rank_False_True_True_False","both,('add', 0.1),add - rank,('add', 0.1),add",-1258.69615384615,170.753333376567,Inf,-7.37142947054694,1.20528958952375e-09,"both,('add', 0.1),add","rank,('add', 0.1),add"
"rank_False_True_True_False","both,('add', 0.1),add - (rank,('add', 0.1),all-sep)",-1267.23461538462,170.753333376567,Inf,-7.42143412562229,8.27232369453222e-10,"both,('add', 0.1),add","(rank,('add', 0.1),all-sep)"
"rank_False_True_True_False","both,('add', 0.1),add - (rank,('add', 0.1),all-uni)",-1215.54230769231,170.753333376567,Inf,-7.1187032408418,7.7788297959677e-09,"both,('add', 0.1),add","(rank,('add', 0.1),all-uni)"
"rank_False_True_True_False","both,('add', 0.1),add - rank,('add', 0.1),del",-1258.69615384615,170.753333376567,Inf,-7.37142947054694,1.20528958952375e-09,"both,('add', 0.1),add","rank,('add', 0.1),del"
"rank_False_True_True_False","both,('add', 0.1),add - rank,('add', 0.2),add",-767.86153846154,170.753333376567,Inf,-4.49690511615461,0.0492301135090351,"both,('add', 0.1),add","rank,('add', 0.2),add"
"rank_False_True_True_False","both,('add', 0.1),add - rank,('add', 0.2),del",-767.953846153847,170.753333376567,Inf,-4.49744570702029,0.0491051469301608,"both,('add', 0.1),add","rank,('add', 0.2),del"
"rank_False_True_True_False","(both,('add', 0.1),all-sep) - rank,('add', 0.1),add",-1302.38461538462,170.753333376567,Inf,-7.62728662234915,1.71178761398622e-10,"(both,('add', 0.1),all-sep)","rank,('add', 0.1),add"
"rank_False_True_True_False","(both,('add', 0.1),all-sep) - (rank,('add', 0.1),all-sep)",-1310.92307692308,170.753333376567,Inf,-7.6772912774245,1.16016209315088e-10,"(both,('add', 0.1),all-sep)","(rank,('add', 0.1),all-sep)"
"rank_False_True_True_False","(both,('add', 0.1),all-sep) - (rank,('add', 0.1),all-uni)",-1259.23076923077,170.753333376567,Inf,-7.374560392644,1.17730189968829e-09,"(both,('add', 0.1),all-sep)","(rank,('add', 0.1),all-uni)"
"rank_False_True_True_False","(both,('add', 0.1),all-sep) - rank,('add', 0.1),del",-1302.38461538462,170.753333376567,Inf,-7.62728662234915,1.71178761398622e-10,"(both,('add', 0.1),all-sep)","rank,('add', 0.1),del"
"rank_False_True_True_False","(both,('add', 0.1),all-sep) - rank,('add', 0.2),add",-811.55,170.753333376567,Inf,-4.75276226795682,0.014326854941508,"(both,('add', 0.1),all-sep)","rank,('add', 0.2),add"
"rank_False_True_True_False","(both,('add', 0.1),all-sep) - (rank,('add', 0.2),all-sep)",-792.542307692308,170.753333376567,Inf,-4.64144559886565,0.0247029802264626,"(both,('add', 0.1),all-sep)","(rank,('add', 0.2),all-sep)"
"rank_False_True_True_False","(both,('add', 0.1),all-sep) - (rank,('add', 0.2),all-uni)",-775.415384615384,170.753333376567,Inf,-4.54114346866271,0.0399482570585024,"(both,('add', 0.1),all-sep)","(rank,('add', 0.2),all-uni)"
"rank_False_True_True_False","(both,('add', 0.1),all-sep) - rank,('add', 0.2),del",-811.642307692307,170.753333376567,Inf,-4.75330285882249,0.0142885844007912,"(both,('add', 0.1),all-sep)","rank,('add', 0.2),del"
"rank_False_True_True_False","(both,('add', 0.1),all-uni) - rank,('add', 0.1),add",-1282.24230769231,170.753333376567,Inf,-7.50932519053401,4.24351068558791e-10,"(both,('add', 0.1),all-uni)","rank,('add', 0.1),add"
"rank_False_True_True_False","(both,('add', 0.1),all-uni) - (rank,('add', 0.1),all-sep)",-1290.78076923077,170.753333376567,Inf,-7.55932984560936,2.8927803113011e-10,"(both,('add', 0.1),all-uni)","(rank,('add', 0.1),all-sep)"
"rank_False_True_True_False","(both,('add', 0.1),all-uni) - (rank,('add', 0.1),all-uni)",-1239.08846153846,170.753333376567,Inf,-7.25659896082886,2.83418265049126e-09,"(both,('add', 0.1),all-uni)","(rank,('add', 0.1),all-uni)"
"rank_False_True_True_False","(both,('add', 0.1),all-uni) - rank,('add', 0.1),del",-1282.24230769231,170.753333376567,Inf,-7.50932519053401,4.24351068558791e-10,"(both,('add', 0.1),all-uni)","rank,('add', 0.1),del"
"rank_False_True_True_False","(both,('add', 0.1),all-uni) - rank,('add', 0.2),add",-791.407692307693,170.753333376567,Inf,-4.63480083614168,0.0255098846373768,"(both,('add', 0.1),all-uni)","rank,('add', 0.2),add"
"rank_False_True_True_False","(both,('add', 0.1),all-uni) - (rank,('add', 0.2),all-sep)",-772.400000000001,170.753333376567,Inf,-4.52348416705052,0.0434325285631858,"(both,('add', 0.1),all-uni)","(rank,('add', 0.2),all-sep)"
"rank_False_True_True_False","(both,('add', 0.1),all-uni) - rank,('add', 0.2),del",-791.5,170.753333376567,Inf,-4.63534142700736,0.0254433050861479,"(both,('add', 0.1),all-uni)","rank,('add', 0.2),del"
"rank_False_True_True_False","both,('add', 0.1),del - rank,('add', 0.1),add",-1243.14230769231,170.753333376567,Inf,-7.28033990967995,2.37747803470837e-09,"both,('add', 0.1),del","rank,('add', 0.1),add"
"rank_False_True_True_False","both,('add', 0.1),del - (rank,('add', 0.1),all-sep)",-1251.68076923077,170.753333376567,Inf,-7.3303445647553,1.63907083653098e-09,"both,('add', 0.1),del","(rank,('add', 0.1),all-sep)"
"rank_False_True_True_False","both,('add', 0.1),del - (rank,('add', 0.1),all-uni)",-1199.98846153846,170.753333376567,Inf,-7.0276136799748,1.5000827437507e-08,"both,('add', 0.1),del","(rank,('add', 0.1),all-uni)"
"rank_False_True_True_False","both,('add', 0.1),del - rank,('add', 0.1),del",-1243.14230769231,170.753333376567,Inf,-7.28033990967995,2.37747803470837e-09,"both,('add', 0.1),del","rank,('add', 0.1),del"
"rank_False_True_True_False","both,('add', 0.2),add - both,mul,add",-1021.83846153846,170.753333376567,Inf,-5.98429583383284,1.55172193024565e-05,"both,('add', 0.2),add","both,mul,add"
"rank_False_True_True_False","both,('add', 0.2),add - (both,mul,all-sep)",-852.453846153846,170.753333376567,Inf,-4.99231159531103,0.00425978834047901,"both,('add', 0.2),add","(both,mul,all-sep)"
"rank_False_True_True_False","both,('add', 0.2),add - (both,mul,all-uni)",-995.85,170.753333376567,Inf,-5.83209698052467,3.90808533474676e-05,"both,('add', 0.2),add","(both,mul,all-uni)"
"rank_False_True_True_False","both,('add', 0.2),add - both,mul,del",-1022.28461538462,170.753333376567,Inf,-5.98690868968363,1.52700870153805e-05,"both,('add', 0.2),add","both,mul,del"
"rank_False_True_True_False","both,('add', 0.2),add - rank,('add', 0.1),add",-1793.28461538462,170.753333376567,Inf,-10.5021938952713,6.0258383874439e-22,"both,('add', 0.2),add","rank,('add', 0.1),add"
