"FixedVars","InteractionTerm","PValue","DependentName"
"","score_mode",1,"rank"
"","use_diff",1.10295532503715e-10,"rank"
"","adddel",2.23024166276414e-07,"rank"
"","score_mode:use_diff",1,"rank"
"","score_mode:adddel",1,"rank"
"","use_diff:adddel",9.95280486637724e-05,"rank"
"","score_mode:use_diff:adddel",1,"rank"
"","score_mode",2.40780908221777e-09,"num_iters"
"","use_diff",7.17499917369422e-30,"num_iters"
"","adddel",1.71295945968861e-05,"num_iters"
"","score_mode:use_diff",5.67794573749324e-15,"num_iters"
"","score_mode:adddel",9.80905139956111e-11,"num_iters"
"","use_diff:adddel",7.83818636486109e-08,"num_iters"
"","score_mode:use_diff:adddel",5.76858185781331e-11,"num_iters"
