"FixedVars","InteractionTerm","PValue","DependentName"
"score_mode=both","use_diff",0.000372547483932843,"rank"
"score_mode=both","adddel",0.0163477874773512,"rank"
"score_mode=both","use_diff:adddel",0.0924843624810879,"rank"
"score_mode=rank","use_diff",0.000372547483932843,"rank"
"score_mode=rank","adddel",0.0163477874773512,"rank"
"score_mode=rank","use_diff:adddel",0.0924843624810879,"rank"
"score_mode=score","use_diff",0.000372547483932843,"rank"
"score_mode=score","adddel",0.0163477874773512,"rank"
"score_mode=score","use_diff:adddel",0.0924843624810879,"rank"
"score_mode=both","use_diff",0.6411998901979,"num_iters"
"score_mode=both","adddel",0.0116123021173765,"num_iters"
"score_mode=both","use_diff:adddel",0.0123324755198106,"num_iters"
"score_mode=rank","use_diff",0.373156569637343,"num_iters"
"score_mode=rank","adddel",0.711928214826617,"num_iters"
"score_mode=rank","use_diff:adddel",0.0175926985942746,"num_iters"
"score_mode=score","use_diff",9.85492965026921e-06,"num_iters"
"score_mode=score","adddel",0.0202120517634419,"num_iters"
"score_mode=score","use_diff:adddel",0.0256983724337446,"num_iters"
