"FixedVars","InteractionTerm","PValue","DependentName"
"use_diff=False, score_mode=both","adddel",0.987903721985105,"rank"
"use_diff=True, score_mode=both","adddel",3.28720105372831e-06,"rank"
"use_diff=False, score_mode=rank","adddel",0.950150124610883,"rank"
"use_diff=True, score_mode=rank","adddel",0.000429174622437681,"rank"
"use_diff=False, score_mode=score","adddel",0.992403609737622,"rank"
"use_diff=True, score_mode=score","adddel",9.82362611720784e-05,"rank"
"use_diff=False, score_mode=both","adddel",0.987903721985105,"num_iters"
"use_diff=True, score_mode=both","adddel",3.28720105372831e-06,"num_iters"
"use_diff=False, score_mode=rank","adddel",0.950150124610883,"num_iters"
"use_diff=True, score_mode=rank","adddel",0.000429174622437681,"num_iters"
"use_diff=False, score_mode=score","adddel",0.992403609737622,"num_iters"
"use_diff=True, score_mode=score","adddel",9.82362611720784e-05,"num_iters"
