"FixedVars","InteractionTerm","PValue","DependentName"
"score_mode=both","use_diff",6.86504651051033e-05,"rank"
"score_mode=both","adddel",0.00940386043658768,"rank"
"score_mode=both","use_diff:adddel",0.0127767513440527,"rank"
"score_mode=rank","use_diff",0.00808475018298226,"rank"
"score_mode=rank","adddel",0.0783130268713179,"rank"
"score_mode=rank","use_diff:adddel",0.0998656478684304,"rank"
"score_mode=score","use_diff",0.00757250225252373,"rank"
"score_mode=score","adddel",0.0596552685735621,"rank"
"score_mode=score","use_diff:adddel",0.103015447292159,"rank"
"score_mode=both","use_diff",6.86504651051033e-05,"num_iters"
"score_mode=both","adddel",0.00940386043658768,"num_iters"
"score_mode=both","use_diff:adddel",0.0127767513440527,"num_iters"
"score_mode=rank","use_diff",0.00808475018298226,"num_iters"
"score_mode=rank","adddel",0.0783130268713179,"num_iters"
"score_mode=rank","use_diff:adddel",0.0998656478684304,"num_iters"
"score_mode=score","use_diff",0.00757250225252373,"num_iters"
"score_mode=score","adddel",0.0596552685735621,"num_iters"
"score_mode=score","use_diff:adddel",0.103015447292159,"num_iters"
