"InteractionTerm","PValue","DependentName"
"score_mode",1,"rank"
"use_diff",4.19117289389888e-37,"rank"
"stage2",2.22252092962177e-05,"rank"
"adddel",3.19977629935833e-21,"rank"
"score_mode:use_diff",1,"rank"
"score_mode:stage2",1,"rank"
"use_diff:stage2",0.0814776363493635,"rank"
"score_mode:adddel",1,"rank"
"use_diff:adddel",8.50624827796016e-22,"rank"
"stage2:adddel",0.188199556269365,"rank"
"score_mode:use_diff:stage2",1,"rank"
"score_mode:use_diff:adddel",1,"rank"
"score_mode:stage2:adddel",1,"rank"
"use_diff:stage2:adddel",0.134160971418938,"rank"
"score_mode:use_diff:stage2:adddel",1,"rank"
"score_mode",2.85524521493772e-08,"num_iters"
"use_diff",4.08500793413827e-28,"num_iters"
"stage2",7.70920354938435e-21,"num_iters"
"adddel",1.11779222302747e-30,"num_iters"
"score_mode:use_diff",1.2031340722814e-14,"num_iters"
"score_mode:stage2",0.0321300162304967,"num_iters"
"use_diff:stage2",0.00292212051004989,"num_iters"
"score_mode:adddel",2.52160803202509e-15,"num_iters"
"use_diff:adddel",1.58247658379729e-27,"num_iters"
"stage2:adddel",0.0144354768448158,"num_iters"
"score_mode:use_diff:stage2",0.00233587321370962,"num_iters"
"score_mode:use_diff:adddel",9.86418116374045e-16,"num_iters"
"score_mode:stage2:adddel",0.445114556081255,"num_iters"
"use_diff:stage2:adddel",0.033959678151017,"num_iters"
"score_mode:use_diff:stage2:adddel",0.41918324400874,"num_iters"
