"FixedVars","InteractionTerm","PValue","DependentName"
"score_mode=both, use_diff=False","adddel",0.840965878284906,"rank"
"score_mode=both, use_diff=True","adddel",7.91886808308484e-09,"rank"
"score_mode=rank, use_diff=False","adddel",0.840965878284906,"rank"
"score_mode=rank, use_diff=True","adddel",7.91886808308484e-09,"rank"
"score_mode=score, use_diff=False","adddel",0.840965878284906,"rank"
"score_mode=score, use_diff=True","adddel",7.91886808308484e-09,"rank"
"score_mode=both, use_diff=False","adddel",0.949459249434641,"num_iters"
"score_mode=both, use_diff=True","adddel",7.78261146603916e-05,"num_iters"
"score_mode=rank, use_diff=False","adddel",0.487074232322661,"num_iters"
"score_mode=rank, use_diff=True","adddel",0.408575695140088,"num_iters"
"score_mode=score, use_diff=False","adddel",0.95388722162323,"num_iters"
"score_mode=score, use_diff=True","adddel",0.000364204638030221,"num_iters"
