"FixedVars","InteractionTerm","PValue","DependentName"
"score_mode=both","use_diff",0.0739806753787102,"rank"
"score_mode=both","adddel",0.0362601109883494,"rank"
"score_mode=both","use_diff:adddel",0.78824107847355,"rank"
"score_mode=rank","use_diff",0.0739806753787102,"rank"
"score_mode=rank","adddel",0.0362601109883494,"rank"
"score_mode=rank","use_diff:adddel",0.78824107847355,"rank"
"score_mode=score","use_diff",0.0739806753787102,"rank"
"score_mode=score","adddel",0.0362601109883494,"rank"
"score_mode=score","use_diff:adddel",0.78824107847355,"rank"
"score_mode=both","use_diff",0.0388991741006432,"num_iters"
"score_mode=both","adddel",0.791636104436761,"num_iters"
"score_mode=both","use_diff:adddel",0.896116384638736,"num_iters"
"score_mode=rank","use_diff",9.68728230677004e-12,"num_iters"
"score_mode=rank","adddel",0.406316225821205,"num_iters"
"score_mode=rank","use_diff:adddel",0.0115184138835502,"num_iters"
"score_mode=score","use_diff",0.265547525844733,"num_iters"
"score_mode=score","adddel",0.752179113790568,"num_iters"
"score_mode=score","use_diff:adddel",0.936099778857349,"num_iters"
