"InteractionTerm","PValue","DependentName","score_mode"
"use_diff",0.0137602402568306,"rank","both"
"adddel",0.0206100953429383,"rank","both"
"use_diff:adddel",0.012475506727003,"rank","both"
"use_diff",0.0137602402568306,"rank","rank"
"adddel",0.0206100953429383,"rank","rank"
"use_diff:adddel",0.012475506727003,"rank","rank"
"use_diff",0.0137602402568306,"rank","score"
"adddel",0.0206100953429383,"rank","score"
"use_diff:adddel",0.012475506727003,"rank","score"
"use_diff",0.0118450108433979,"num_iters","both"
"adddel",0.000217046418551992,"num_iters","both"
"use_diff:adddel",0.000226219500361399,"num_iters","both"
"use_diff",0.127541277460068,"num_iters","rank"
"adddel",0.105987365739535,"num_iters","rank"
"use_diff:adddel",0.345842990273409,"num_iters","rank"
"use_diff",0.0305580634787542,"num_iters","score"
"adddel",0.00170218272124956,"num_iters","score"
"use_diff:adddel",4.19026309098591e-08,"num_iters","score"
