"diff_type","metric","p.value","setting_1","setting_2"
"git","rank",0.999090379574418,"add","(all-sep)"
"git","rank",0.964652973274647,"add","(all-uni)"
"git","rank",0.0214999455672531,"add","del"
"git","rank",0.92853310714441,"(all-sep)","(all-uni)"
"git","rank",0.0317992412949362,"(all-sep)","del"
"git","rank",0.00476231872769495,"(all-uni)","del"
"no_diff","rank",0.966220701819811,"add","(all-sep)"
"no_diff","rank",0.998980064499624,"add","(all-uni)"
"no_diff","rank",0.985888605534405,"add","del"
"no_diff","rank",0.988113496597651,"(all-sep)","(all-uni)"
"no_diff","rank",0.99934746618723,"(all-sep)","del"
"no_diff","rank",0.997037636215219,"(all-uni)","del"
"gumtree_base","rank",0.929954920065364,"add","(all-sep)"
"gumtree_base","rank",0.915774356479872,"add","(all-uni)"
"gumtree_base","rank",0.097773169311324,"add","del"
"gumtree_base","rank",0.591654600400993,"(all-sep)","(all-uni)"
"gumtree_base","rank",0.323873238605552,"(all-sep)","del"
"gumtree_base","rank",0.0172469484431627,"(all-uni)","del"
"gumtree_class","rank",0.999850143699612,"add","(all-sep)"
"gumtree_class","rank",0.925220093614967,"add","(all-uni)"
"gumtree_class","rank",0.014778444574592,"add","del"
"gumtree_class","rank",0.898566787834254,"(all-sep)","(all-uni)"
"gumtree_class","rank",0.0185293324242474,"(all-sep)","del"
"gumtree_class","rank",0.00181990288495149,"(all-uni)","del"
