"adddel","metric","p.value","setting_1","setting_2"
"add","rank",0.996886055642578,"git","gumtree_base"
"add","rank",0.397393893351376,"git","gumtree_class"
"add","rank",0.622109848411679,"git","no_diff"
"add","rank",0.523414388857422,"gumtree_base","gumtree_class"
"add","rank",0.491057727800642,"gumtree_base","no_diff"
"add","rank",0.029233295266173,"gumtree_class","no_diff"
"del","rank",0.844544072823079,"git","gumtree_base"
"del","rank",0.825184629173289,"git","gumtree_class"
"del","rank",0.37984515987262,"git","no_diff"
"del","rank",0.999977825632545,"gumtree_base","gumtree_class"
"del","rank",0.86396037285613,"gumtree_base","no_diff"
"del","rank",0.881086620897152,"gumtree_class","no_diff"
"all-uni","rank",0.974649672397977,"git","gumtree_base"
"all-uni","rank",0.22561762103942,"git","gumtree_class"
"all-uni","rank",0.464495135418893,"git","no_diff"
"all-uni","rank",0.446092139929186,"gumtree_base","gumtree_class"
"all-uni","rank",0.238527931720682,"gumtree_base","no_diff"
"all-uni","rank",0.00462716525831575,"gumtree_class","no_diff"
"all-sep","rank",0.998594986128743,"git","gumtree_base"
"all-sep","rank",0.46191004699667,"git","gumtree_class"
"all-sep","rank",0.774965393552915,"git","no_diff"
"all-sep","rank",0.368833416254767,"gumtree_base","gumtree_class"
"all-sep","rank",0.855717370553087,"gumtree_base","no_diff"
"all-sep","rank",0.0756532606090957,"gumtree_class","no_diff"
