"p.value","setting_1","setting_2","metric"
0.999999994320379,"both,False,add","(both,False,all-sep)","rank"
1,"both,False,add","(both,False,all-uni)","rank"
1,"both,False,add","both,False,del","rank"
1,"both,False,add","both,True,add","rank"
0.878028150099725,"both,False,add","(both,True,all-sep)","rank"
1,"both,False,add","(both,True,all-uni)","rank"
1,"both,False,add","both,True,del","rank"
1,"both,False,add","rank,False,add","rank"
0.999999994320379,"both,False,add","(rank,False,all-sep)","rank"
1,"both,False,add","(rank,False,all-uni)","rank"
1,"both,False,add","rank,False,del","rank"
1,"both,False,add","rank,True,add","rank"
0.878028150099724,"both,False,add","(rank,True,all-sep)","rank"
1,"both,False,add","(rank,True,all-uni)","rank"
1,"both,False,add","rank,True,del","rank"
1,"both,False,add","score,False,add","rank"
0.999999994320379,"both,False,add","(score,False,all-sep)","rank"
1,"both,False,add","(score,False,all-uni)","rank"
1,"both,False,add","score,False,del","rank"
1,"both,False,add","score,True,add","rank"
0.878028150099724,"both,False,add","(score,True,all-sep)","rank"
1,"both,False,add","(score,True,all-uni)","rank"
1,"both,False,add","score,True,del","rank"
0.999999999842952,"(both,False,all-sep)","(both,False,all-uni)","rank"
0.999999999983317,"(both,False,all-sep)","both,False,del","rank"
0.999997966782154,"(both,False,all-sep)","both,True,add","rank"
0.999393832904984,"(both,False,all-sep)","(both,True,all-sep)","rank"
0.999997619847904,"(both,False,all-sep)","(both,True,all-uni)","rank"
0.999999999966706,"(both,False,all-sep)","both,True,del","rank"
0.999999994320379,"(both,False,all-sep)","rank,False,add","rank"
1,"(both,False,all-sep)","(rank,False,all-sep)","rank"
0.999999999842952,"(both,False,all-sep)","(rank,False,all-uni)","rank"
0.999999999983317,"(both,False,all-sep)","rank,False,del","rank"
0.999997966782154,"(both,False,all-sep)","rank,True,add","rank"
0.999393832904984,"(both,False,all-sep)","(rank,True,all-sep)","rank"
0.999997619847904,"(both,False,all-sep)","(rank,True,all-uni)","rank"
0.999999999966706,"(both,False,all-sep)","rank,True,del","rank"
0.999999994320379,"(both,False,all-sep)","score,False,add","rank"
1,"(both,False,all-sep)","(score,False,all-sep)","rank"
0.999999999842952,"(both,False,all-sep)","(score,False,all-uni)","rank"
0.999999999983317,"(both,False,all-sep)","score,False,del","rank"
0.999997966782154,"(both,False,all-sep)","score,True,add","rank"
0.999393832904984,"(both,False,all-sep)","(score,True,all-sep)","rank"
0.999997619847904,"(both,False,all-sep)","(score,True,all-uni)","rank"
0.999999999966706,"(both,False,all-sep)","score,True,del","rank"
1,"(both,False,all-uni)","both,False,del","rank"
1,"(both,False,all-uni)","both,True,add","rank"
0.927014308673821,"(both,False,all-uni)","(both,True,all-sep)","rank"
1,"(both,False,all-uni)","(both,True,all-uni)","rank"
1,"(both,False,all-uni)","both,True,del","rank"
1,"(both,False,all-uni)","rank,False,add","rank"
0.999999999842952,"(both,False,all-uni)","(rank,False,all-sep)","rank"
1,"(both,False,all-uni)","(rank,False,all-uni)","rank"
1,"(both,False,all-uni)","rank,False,del","rank"
1,"(both,False,all-uni)","rank,True,add","rank"
0.927014308673821,"(both,False,all-uni)","(rank,True,all-sep)","rank"
1,"(both,False,all-uni)","(rank,True,all-uni)","rank"
1,"(both,False,all-uni)","rank,True,del","rank"
1,"(both,False,all-uni)","score,False,add","rank"
0.999999999842952,"(both,False,all-uni)","(score,False,all-sep)","rank"
1,"(both,False,all-uni)","(score,False,all-uni)","rank"
1,"(both,False,all-uni)","score,False,del","rank"
1,"(both,False,all-uni)","score,True,add","rank"
0.927014308673821,"(both,False,all-uni)","(score,True,all-sep)","rank"
1,"(both,False,all-uni)","(score,True,all-uni)","rank"
1,"(both,False,all-uni)","score,True,del","rank"
1,"both,False,del","both,True,add","rank"
0.946563739916715,"both,False,del","(both,True,all-sep)","rank"
1,"both,False,del","(both,True,all-uni)","rank"
1,"both,False,del","both,True,del","rank"
1,"both,False,del","rank,False,add","rank"
0.999999999983317,"both,False,del","(rank,False,all-sep)","rank"
1,"both,False,del","(rank,False,all-uni)","rank"
1,"both,False,del","rank,False,del","rank"
1,"both,False,del","rank,True,add","rank"
0.946563739916715,"both,False,del","(rank,True,all-sep)","rank"
1,"both,False,del","(rank,True,all-uni)","rank"
1,"both,False,del","rank,True,del","rank"
1,"both,False,del","score,False,add","rank"
0.999999999983317,"both,False,del","(score,False,all-sep)","rank"
1,"both,False,del","(score,False,all-uni)","rank"
1,"both,False,del","score,False,del","rank"
1,"both,False,del","score,True,add","rank"
0.946563739916715,"both,False,del","(score,True,all-sep)","rank"
1,"both,False,del","(score,True,all-uni)","rank"
1,"both,False,del","score,True,del","rank"
0.715395220140226,"both,True,add","(both,True,all-sep)","rank"
1,"both,True,add","(both,True,all-uni)","rank"
1,"both,True,add","both,True,del","rank"
1,"both,True,add","rank,False,add","rank"
0.999997966782154,"both,True,add","(rank,False,all-sep)","rank"
1,"both,True,add","(rank,False,all-uni)","rank"
1,"both,True,add","rank,False,del","rank"
1,"both,True,add","rank,True,add","rank"
0.715395220140225,"both,True,add","(rank,True,all-sep)","rank"
1,"both,True,add","(rank,True,all-uni)","rank"
1,"both,True,add","rank,True,del","rank"
1,"both,True,add","score,False,add","rank"
0.999997966782154,"both,True,add","(score,False,all-sep)","rank"
1,"both,True,add","(score,False,all-uni)","rank"
1,"both,True,add","score,False,del","rank"
1,"both,True,add","score,True,add","rank"
0.715395220140225,"both,True,add","(score,True,all-sep)","rank"
1,"both,True,add","(score,True,all-uni)","rank"
1,"both,True,add","score,True,del","rank"
0.709024011126159,"(both,True,all-sep)","(both,True,all-uni)","rank"
0.941231010933173,"(both,True,all-sep)","both,True,del","rank"
0.878028150099724,"(both,True,all-sep)","rank,False,add","rank"
0.999393832904984,"(both,True,all-sep)","(rank,False,all-sep)","rank"
0.927014308673821,"(both,True,all-sep)","(rank,False,all-uni)","rank"
0.946563739916715,"(both,True,all-sep)","rank,False,del","rank"
0.715395220140226,"(both,True,all-sep)","rank,True,add","rank"
1,"(both,True,all-sep)","(rank,True,all-sep)","rank"
0.709024011126159,"(both,True,all-sep)","(rank,True,all-uni)","rank"
0.941231010933173,"(both,True,all-sep)","rank,True,del","rank"
0.878028150099724,"(both,True,all-sep)","score,False,add","rank"
0.999393832904984,"(both,True,all-sep)","(score,False,all-sep)","rank"
0.927014308673821,"(both,True,all-sep)","(score,False,all-uni)","rank"
0.946563739916715,"(both,True,all-sep)","score,False,del","rank"
0.715395220140226,"(both,True,all-sep)","score,True,add","rank"
1,"(both,True,all-sep)","(score,True,all-sep)","rank"
