"score_mode","metric","p.value","setting_1","setting_2"
"both","rank",0.00162537239382599,"True,True,add","(True,True,all-sep)"
"both","rank",0.776745178713403,"True,True,add","(True,True,all-uni)"
"both","rank",1.11229517818501e-08,"True,True,add","True,True,del"
"both","rank",0.0353912612032523,"(True,True,all-sep)","(True,True,all-uni)"
"both","rank",0.0620815641235229,"(True,True,all-sep)","True,True,del"
"both","rank",1.88288807778658e-06,"(True,True,all-uni)","True,True,del"
"rank","rank",0.00162537239382599,"True,True,add","(True,True,all-sep)"
"rank","rank",0.776745178713403,"True,True,add","(True,True,all-uni)"
"rank","rank",1.11229517818501e-08,"True,True,add","True,True,del"
"rank","rank",0.0353912612032523,"(True,True,all-sep)","(True,True,all-uni)"
"rank","rank",0.0620815641235229,"(True,True,all-sep)","True,True,del"
"rank","rank",1.88288807778658e-06,"(True,True,all-uni)","True,True,del"
"score","rank",0.00162537239382599,"True,True,add","(True,True,all-sep)"
"score","rank",0.776745178713403,"True,True,add","(True,True,all-uni)"
"score","rank",1.11229517818501e-08,"True,True,add","True,True,del"
"score","rank",0.0353912612032523,"(True,True,all-sep)","(True,True,all-uni)"
"score","rank",0.0620815641235229,"(True,True,all-sep)","True,True,del"
"score","rank",1.88288807778658e-06,"(True,True,all-uni)","True,True,del"
"both","num_iters",0.0341732163169943,"True,True,add","(True,True,all-sep)"
"both","num_iters",0.952764324600244,"True,True,add","(True,True,all-uni)"
"both","num_iters",1.59778323904902e-08,"True,True,add","True,True,del"
"both","num_iters",0.12627771875025,"(True,True,all-sep)","(True,True,all-uni)"
"both","num_iters",0.00454419149997332,"(True,True,all-sep)","True,True,del"
"both","num_iters",2.89301482880866e-07,"(True,True,all-uni)","True,True,del"
"rank","num_iters",0.372864963990332,"True,True,add","(True,True,all-sep)"
"rank","num_iters",0.923660968455226,"True,True,add","(True,True,all-uni)"
"rank","num_iters",0.000319774445039944,"True,True,add","True,True,del"
"rank","num_iters",0.757414489913437,"(True,True,all-sep)","(True,True,all-uni)"
"rank","num_iters",0.0668829439607755,"(True,True,all-sep)","True,True,del"
"rank","num_iters",0.00343814686142929,"(True,True,all-uni)","True,True,del"
"score","num_iters",0.000938636670241633,"True,True,add","(True,True,all-sep)"
"score","num_iters",0.0586405798858942,"True,True,add","(True,True,all-uni)"
"score","num_iters",8.01598668553893e-08,"True,True,add","True,True,del"
"score","num_iters",0.571150676164491,"(True,True,all-sep)","(True,True,all-uni)"
"score","num_iters",0.190156991784022,"(True,True,all-sep)","True,True,del"
"score","num_iters",0.0060634434439194,"(True,True,all-uni)","True,True,del"
