"p.value","setting_1","setting_2","metric"
1,"both,False,add","(both,False,all-sep)","rank"
1,"both,False,add","(both,False,all-uni)","rank"
1,"both,False,add","both,False,del","rank"
0.0013386736919343,"both,False,add","both,True,add","rank"
0.766940975358146,"both,False,add","(both,True,all-sep)","rank"
0.00049009681999268,"both,False,add","(both,True,all-uni)","rank"
0.999951018942591,"both,False,add","both,True,del","rank"
1,"both,False,add","rank,False,add","rank"
1,"both,False,add","(rank,False,all-sep)","rank"
1,"both,False,add","(rank,False,all-uni)","rank"
1,"both,False,add","rank,False,del","rank"
0.00133867369193441,"both,False,add","rank,True,add","rank"
0.766940975358145,"both,False,add","(rank,True,all-sep)","rank"
0.00049009681999268,"both,False,add","(rank,True,all-uni)","rank"
0.999951018942591,"both,False,add","rank,True,del","rank"
1,"both,False,add","score,False,add","rank"
1,"both,False,add","(score,False,all-sep)","rank"
1,"both,False,add","(score,False,all-uni)","rank"
1,"both,False,add","score,False,del","rank"
0.0013386736919343,"both,False,add","score,True,add","rank"
0.766940975358145,"both,False,add","(score,True,all-sep)","rank"
0.00049009681999268,"both,False,add","(score,True,all-uni)","rank"
0.999951018942591,"both,False,add","score,True,del","rank"
1,"(both,False,all-sep)","(both,False,all-uni)","rank"
0.999999999999853,"(both,False,all-sep)","both,False,del","rank"
0.000128713008268666,"(both,False,all-sep)","both,True,add","rank"
0.392753564264699,"(both,False,all-sep)","(both,True,all-sep)","rank"
4.19422868092045e-05,"(both,False,all-sep)","(both,True,all-uni)","rank"
0.999999997048002,"(both,False,all-sep)","both,True,del","rank"
1,"(both,False,all-sep)","rank,False,add","rank"
1,"(both,False,all-sep)","(rank,False,all-sep)","rank"
1,"(both,False,all-sep)","(rank,False,all-uni)","rank"
0.999999999999853,"(both,False,all-sep)","rank,False,del","rank"
0.000128713008268666,"(both,False,all-sep)","rank,True,add","rank"
0.392753564264699,"(both,False,all-sep)","(rank,True,all-sep)","rank"
4.19422868092045e-05,"(both,False,all-sep)","(rank,True,all-uni)","rank"
0.999999997048002,"(both,False,all-sep)","rank,True,del","rank"
1,"(both,False,all-sep)","score,False,add","rank"
1,"(both,False,all-sep)","(score,False,all-sep)","rank"
1,"(both,False,all-sep)","(score,False,all-uni)","rank"
0.999999999999853,"(both,False,all-sep)","score,False,del","rank"
0.000128713008268666,"(both,False,all-sep)","score,True,add","rank"
0.392753564264699,"(both,False,all-sep)","(score,True,all-sep)","rank"
4.19422868092045e-05,"(both,False,all-sep)","(score,True,all-uni)","rank"
0.999999997048002,"(both,False,all-sep)","score,True,del","rank"
1,"(both,False,all-uni)","both,False,del","rank"
0.000671225935712116,"(both,False,all-uni)","both,True,add","rank"
0.657768528988688,"(both,False,all-uni)","(both,True,all-sep)","rank"
0.000236864385062652,"(both,False,all-uni)","(both,True,all-uni)","rank"
0.999995209852031,"(both,False,all-uni)","both,True,del","rank"
1,"(both,False,all-uni)","rank,False,add","rank"
1,"(both,False,all-uni)","(rank,False,all-sep)","rank"
1,"(both,False,all-uni)","(rank,False,all-uni)","rank"
1,"(both,False,all-uni)","rank,False,del","rank"
0.000671225935712116,"(both,False,all-uni)","rank,True,add","rank"
0.657768528988687,"(both,False,all-uni)","(rank,True,all-sep)","rank"
0.000236864385062652,"(both,False,all-uni)","(rank,True,all-uni)","rank"
0.999995209852031,"(both,False,all-uni)","rank,True,del","rank"
1,"(both,False,all-uni)","score,False,add","rank"
1,"(both,False,all-uni)","(score,False,all-sep)","rank"
1,"(both,False,all-uni)","(score,False,all-uni)","rank"
1,"(both,False,all-uni)","score,False,del","rank"
0.000671225935712116,"(both,False,all-uni)","score,True,add","rank"
0.657768528988687,"(both,False,all-uni)","(score,True,all-sep)","rank"
