"InteractionTerm","PValue","DependentName"
"score_mode",1,"rank"
"use_diff",7.95973527097833e-06,"rank"
"adddel",4.99865583329463e-07,"rank"
"score_mode:use_diff",1,"rank"
"score_mode:adddel",1,"rank"
"use_diff:adddel",8.71908858488741e-08,"rank"
"score_mode:use_diff:adddel",1,"rank"
"score_mode",9.22400681971968e-07,"num_iters"
"use_diff",8.74859993188816e-07,"num_iters"
"adddel",1.22275031784211e-19,"num_iters"
"score_mode:use_diff",6.51997726401964e-10,"num_iters"
"score_mode:adddel",5.15280578870301e-10,"num_iters"
"use_diff:adddel",1.24757669807083e-13,"num_iters"
"score_mode:use_diff:adddel",3.75095748613787e-11,"num_iters"
