commit,vote,rank,is_style_change
6b49cfd,4.467637371756317,1.0,False
ff67789,1.5271787423759369,2.0,False
5b3955b,1.2728651847887917,3.0,False
b3a25b6,1.145816761548008,4.0,False
d3adbc3,1.03104222825035,5.0,False
4d76ded,0.9244472911396008,6.0,False
5872088,0.8320025620256406,7.0,False
384daa7,0.7488023058230766,8.0,False
9d5a6e3,0.6856038239130032,9.0,False
0e298f2,0.6802461228598166,10.0,False
4fe0dd2,0.637276481419159,11.0,False
8d251a4,0.6326198491638164,12.0,False
f93b77f,0.5520447142783562,13.0,False
16a9c4d,0.4988878635044281,14.0,False
c621cfa,0.44216027356546855,15.0,False
b8086ea,0.4112322531080329,16.0,False
66c8c69,0.40774410774410774,17.0,False
262e522,0.40159053430415975,18.0,False
c25df7e,0.3302727272727273,19.0,False
8ef31dd,0.3282355463339885,20.0,False
cc5786f,0.2957831736681221,21.0,False
5709ec1,0.2616578621450801,22.0,False
cc628d6,0.2349820979439062,23.0,False
9b04e62,0.19033549933456403,24.0,False
2065172,0.16746136501127426,25.0,False
11e5981,0.15417175446099687,26.0,False
44ebf60,0.14853405895521188,27.0,False
9d72612,0.142160453324421,28.0,False
2dbbe07,0.13760779676979368,29.0,False
c764a46,0.13481879144757764,30.0,False
7287c0a,0.1347435516808445,31.0,False
eb3e25d,0.13056345561102653,32.0,False
177d001,0.12432513347407546,33.0,False
5b3bc3f,0.1158999809318913,34.0,False
22775ad,0.1043632272449553,35.0,False
4385971,0.1015246659949064,36.0,False
e33e925,0.09416499975855501,37.0,False
e488f3f,0.08590909090909091,38.0,False
b655537,0.07731818181818183,39.0,False
52ecbc6,0.07373987222625598,40.0,False
e42c68a,0.07207952600086817,41.0,False
68c9dd7,0.07093137304404706,42.0,False
b2430d2,0.07077412790749246,43.0,False
6bbac11,0.06951352308810618,44.0,False
a478193,0.06796078133536883,45.0,False
5c695ce,0.06616469761040533,46.0,False
5fa514b,0.06414926783176594,47.0,False
bcb1a5d,0.06342517543859649,48.0,False
4755483,0.06313159473684211,49.0,False
5af11d3,0.05972929650326736,50.0,False
616f796,0.05795985087719299,51.0,False
03ce555,0.055442465656739826,52.0,False
9320fec,0.05511125072956364,53.0,False
2acd6c1,0.05375636685294062,54.0,False
03d0d81,0.053449814475600016,55.0,False
1c75a54,0.05246089744511526,56.0,False
efd3c17,0.04838073016764656,57.0,False
e3bcc1c,0.04662128248247966,58.0,False
043a352,0.04473197385697896,59.0,False
b29c8c0,0.041721854304635764,60.0,False
4cac8c1,0.03982100393688368,61.0,False
82d3c01,0.03928571428571429,62.0,False
c9e8972,0.03924963101084187,63.0,False
11bd742,0.03738796307415188,64.0,False
f80152e,0.03698104667727274,65.0,False
0af94b2,0.03505903542125275,66.0,False
6dbca87,0.03364916676673669,67.0,False
2bbded1,0.03303910245834021,68.0,False
7efb21a,0.02873352699011248,69.0,False
d381212,0.026785714285714288,70.0,False
8a15e3b,0.02464288635341267,71.0,False
5ac633a,0.024566556648041433,72.0,False
79c373c,0.02432844757813362,73.0,False
cf5fd88,0.023686206569550266,74.0,False
b1b6778,0.022785823005001087,75.0,False
be01040,0.022371428571428577,76.0,False
3706221,0.022178597718071402,77.0,False
e43d4fa,0.02211945782846149,78.0,False
44293eb,0.02109704641350211,79.0,False
fb1ca6a,0.020662586022063147,80.0,False
28982c3,0.02013428571428572,81.0,False
9bf6d8d,0.01946602218726311,82.0,False
30a88df,0.019222628101149577,83.0,False
4a9d8d5,0.01904761904761905,84.0,False
bbf1b13,0.01881897926634769,85.0,False
1c92a54,0.018120857142857147,86.0,False
e14000e,0.0175194199685368,87.0,False
04a9097,0.016485089833779828,88.0,False
00241aa,0.016219377990430623,89.0,False
b2c046d,0.015090742032276377,90.0,False
63e8753,0.014597440191387562,91.0,False
67316ef,0.014084507042253521,92.0,False
c438dfd,0.013568314782475116,93.0,False
b8c52bf,0.01321010485714286,94.0,False
35d56dd,0.013157894736842105,95.0,False
ac239c7,0.01278025031762766,96.0,False
4fe9831,0.012771657157063328,97.0,False
b3f276d,0.011904761904761906,98.0,False
57ed289,0.011494491441356995,99.0,False
3bee5d7,0.011191987020843645,100.0,False
dc58965,0.011142490463090515,101.0,False
a9757e8,0.010977245898724085,102.0,False
febdacb,0.0107912836523126,103.0,False
2851a41,0.01077607660566301,104.0,False
b53207c,0.010290113112693757,105.0,False
a2f9d4f,0.01025808990538888,106.0,False
831de24,0.010157017543859649,107.0,False
8eac7e1,0.010127591706539076,108.0,False
e829daf,0.009803999719171364,109.0,False
f1be9f1,0.009793062200956939,110.0,False
a36a61a,0.00969846894509671,111.0,False
12e777c,0.008421850079744816,112.0,False
3c1c9ea,0.008001991228070176,113.0,False
4a77f08,0.007691387559808613,114.0,False
8a76da2,0.007575757575757576,115.0,False
de13c33,0.00733652312599681,116.0,False
9dfbc80,0.0071428571428571435,117.0,False
400a87f,0.007137931034482759,118.0,False
8dc6730,0.006996910134067093,119.0,False
d71162d,0.006778309409888357,120.0,False
7e9b833,0.006222488038277512,121.0,False
342d124,0.006076555023923445,122.0,False
5200a1c,0.0057532591319206915,123.0,False
e152ec0,0.005167464114832536,125.0,False
1c95684,0.005167464114832536,125.0,False
d91c132,0.004739336492890996,126.0,False
e9f7e61,0.004462578732057417,127.0,False
5bebea6,0.00430622009569378,128.0,False
66485d3,0.00429825193796979,129.0,False
2f28243,0.004265402843601896,130.0,False
6bf3a64,0.004185645933014354,131.0,False
48a3215,0.00411522633744856,132.0,False
eb5eae4,0.003987240829346092,133.0,False
2bc4e29,0.003875598086124402,134.0,False
97bbbff,0.0035885167464114833,135.0,False
7eaa0d8,0.003229665071770335,136.0,False
d39f3fa,0.003089477583732058,137.0,False
6a6e135,0.0028708133971291866,138.0,False
94192f9,0.0027805298253588523,139.0,False
d6227f7,0.0027462022966507184,140.0,False
091577d,0.002671865441379311,141.0,False
18e9262,0.0025024768428229672,142.0,False
535699c,0.0023923444976076554,144.0,False
bd9c7b6,0.0023923444976076554,144.0,False
a2d8936,0.0022751357167877526,145.0,False
01d1238,0.00215311004784689,146.0,False
fc07980,0.001937799043062201,147.0,False
64f70b4,0.0019285714285714288,148.0,False
8686011,0.001641875056576149,149.0,False
845f5ff,0.001594896331738437,151.0,False
bca9abb,0.001594896331738437,151.0,False
796557c,0.0015091342335186654,152.0,False
75f82cd,0.0014354066985645933,153.0,False
1aaaaa9,0.0014126555023923446,154.0,False
840ddca,0.0009268432751196175,155.0,False
a857aec,0.0007974481658692185,160.0,False
4014ddc,0.0007974481658692185,160.0,False
5524adb,0.0007974481658692185,160.0,False
c9855be,0.0007974481658692185,160.0,False
3698fee,0.0007974481658692185,160.0,False
29dc33f,0.0007942811755361397,161.0,False
847b296,0.0007177033492822966,162.0,False
59aac0b,0.0,167.0,True
a2715a5,0.0,167.0,True
6c7c286,0.0,167.0,True
70a5626,0.0,167.0,True
465b84d,0.0,167.0,True
