"Test","contrast","estimate","SE","df","z.ratio","p.value","setting_1","setting_2"
"rank_both_False","skip,False,add - (True,True,all-sep)",104.634615384615,25.1311476541549,Inf,4.16354305917726,0.00864837443375399,"skip,False,add","(True,True,all-sep)"
"rank_both_False","skip,False,add - (True,True,all-uni)",97.6884615384615,25.1311476541549,Inf,3.88714685388874,0.0279945132129254,"skip,False,add","(True,True,all-uni)"
"rank_both_False","(skip,False,all-uni) - (True,True,all-sep)",105.215384615385,25.1311476541549,Inf,4.18665259793615,0.00781352205594177,"(skip,False,all-uni)","(True,True,all-sep)"
"rank_both_False","(skip,False,all-uni) - (True,True,all-uni)",98.2692307692308,25.1311476541549,Inf,3.91025639264764,0.0254467042653601,"(skip,False,all-uni)","(True,True,all-uni)"
"rank_both_False","skip,False,del - (True,True,all-sep)",103.030769230769,25.1311476541549,Inf,4.09972400180998,0.0114165506155903,"skip,False,del","(True,True,all-sep)"
"rank_both_False","skip,False,del - (True,True,all-uni)",96.0846153846154,25.1311476541549,Inf,3.82332779652146,0.0363388653009587,"skip,False,del","(True,True,all-uni)"
"rank_both_True","False,False,add - skip,True,add",-153.092307692308,38.3134245375161,Inf,-3.99578762640758,0.0177963470964977,"False,False,add","skip,True,add"
"rank_both_True","False,False,add - (skip,True,all-uni)",-159.242307692308,38.3134245375161,Inf,-4.15630577570478,0.00892680277444111,"False,False,add","(skip,True,all-uni)"
"rank_both_True","(False,False,all-sep) - False,True,add",-180.065384615385,38.3134245375161,Inf,-4.69979874649593,0.000718753685536573,"(False,False,all-sep)","False,True,add"
"rank_both_True","(False,False,all-sep) - (False,True,all-uni)",-186.788461538462,38.3134245375161,Inf,-4.87527449694715,0.000299894028597705,"(False,False,all-sep)","(False,True,all-uni)"
"rank_both_True","(False,False,all-sep) - skip,True,add",-221.45,38.3134245375161,Inf,-5.77995840030322,2.06224711964639e-06,"(False,False,all-sep)","skip,True,add"
"rank_both_True","(False,False,all-sep) - (skip,True,all-uni)",-227.6,38.3134245375161,Inf,-5.94047654960042,7.84377403902312e-07,"(False,False,all-sep)","(skip,True,all-uni)"
"rank_both_True","(False,False,all-sep) - True,True,add",-156.984615384615,38.3134245375161,Inf,-4.09737885035303,0.0115327905555986,"(False,False,all-sep)","True,True,add"
"rank_both_True","(False,False,all-sep) - (True,True,all-uni)",-163.757692307692,38.3134245375161,Inf,-4.27415962640829,0.00529532360329898,"(False,False,all-sep)","(True,True,all-uni)"
