project,use_br,use_stopword,stage2,adddel,diff_type,DependentName,DependentValue
Cli-29b,True,True,skip,add,git,rank,2
Closure-10b,True,True,skip,add,git,rank,166
Closure-104b,True,True,skip,add,git,rank,4
Closure-113b,True,True,skip,add,git,rank,33
Closure-115b,True,True,skip,add,git,rank,70
Closure-120b,True,True,skip,add,git,rank,165
Closure-121b,True,True,skip,add,git,rank,223
Closure-128b,True,True,skip,add,git,rank,173
Closure-133b,True,True,skip,add,git,rank,5
Closure-17b,True,True,skip,add,git,rank,186
Closure-2b,True,True,skip,add,git,rank,227
Closure-21b,True,True,skip,add,git,rank,3
Closure-27b,True,True,skip,add,git,rank,1
Closure-30b,True,True,skip,add,git,rank,152
Closure-31b,True,True,skip,add,git,rank,4
Closure-33b,True,True,skip,add,git,rank,65
Closure-48b,True,True,skip,add,git,rank,201
Closure-52b,True,True,skip,add,git,rank,31
Closure-59b,True,True,skip,add,git,rank,71
Closure-60b,True,True,skip,add,git,rank,31
Closure-61b,True,True,skip,add,git,rank,109
Closure-62b,True,True,skip,add,git,rank,5
Closure-64b,True,True,skip,add,git,rank,229
Closure-65b,True,True,skip,add,git,rank,42
Closure-66b,True,True,skip,add,git,rank,36
Closure-68b,True,True,skip,add,git,rank,6
Closure-73b,True,True,skip,add,git,rank,3
Closure-74b,True,True,skip,add,git,rank,10
Closure-76b,True,True,skip,add,git,rank,34
Closure-8b,True,True,skip,add,git,rank,191
Closure-80b,True,True,skip,add,git,rank,23
Closure-82b,True,True,skip,add,git,rank,8
Closure-85b,True,True,skip,add,git,rank,38
Closure-91b,True,True,skip,add,git,rank,29
Closure-92b,True,True,skip,add,git,rank,98
Closure-99b,True,True,skip,add,git,rank,7
Codec-10b,True,True,skip,add,git,rank,3
Codec-18b,True,True,skip,add,git,rank,1
Codec-3b,True,True,skip,add,git,rank,2
Compress-26b,True,True,skip,add,git,rank,1
Compress-39b,True,True,skip,add,git,rank,1
Compress-44b,True,True,skip,add,git,rank,1
Compress-7b,True,True,skip,add,git,rank,2
Compress-8b,True,True,skip,add,git,rank,1
Gson-15b,True,True,skip,add,git,rank,2
JacksonCore-14b,True,True,skip,add,git,rank,6
JacksonCore-4b,True,True,skip,add,git,rank,3
JacksonCore-5b,True,True,skip,add,git,rank,1
JacksonCore-6b,True,True,skip,add,git,rank,1
JacksonCore-8b,True,True,skip,add,git,rank,2
Jsoup-27b,True,True,skip,add,git,rank,4
Jsoup-4b,True,True,skip,add,git,rank,2
Jsoup-85b,True,True,skip,add,git,rank,1
Jsoup-9b,True,True,skip,add,git,rank,5
Lang-13b,True,True,skip,add,git,rank,1
Lang-14b,True,True,skip,add,git,rank,2
Lang-19b,True,True,skip,add,git,rank,1
Lang-21b,True,True,skip,add,git,rank,3
Lang-22b,True,True,skip,add,git,rank,4
Lang-25b,True,True,skip,add,git,rank,2
Lang-26b,True,True,skip,add,git,rank,1
Lang-28b,True,True,skip,add,git,rank,1
Lang-31b,True,True,skip,add,git,rank,1
Lang-39b,True,True,skip,add,git,rank,1
Lang-4b,True,True,skip,add,git,rank,2
Lang-40b,True,True,skip,add,git,rank,1
Lang-43b,True,True,skip,add,git,rank,3
Lang-44b,True,True,skip,add,git,rank,2
Lang-45b,True,True,skip,add,git,rank,1
Lang-46b,True,True,skip,add,git,rank,7
Lang-47b,True,True,skip,add,git,rank,2
Lang-48b,True,True,skip,add,git,rank,5
Lang-49b,True,True,skip,add,git,rank,1
Lang-51b,True,True,skip,add,git,rank,2
Lang-52b,True,True,skip,add,git,rank,1
Lang-53b,True,True,skip,add,git,rank,1
Lang-54b,True,True,skip,add,git,rank,2
Lang-55b,True,True,skip,add,git,rank,1
Lang-57b,True,True,skip,add,git,rank,2
Lang-6b,True,True,skip,add,git,rank,3
Lang-60b,True,True,skip,add,git,rank,1
Lang-61b,True,True,skip,add,git,rank,1
Lang-64b,True,True,skip,add,git,rank,1
Math-10b,True,True,skip,add,git,rank,7
Math-101b,True,True,skip,add,git,rank,1
Math-103b,True,True,skip,add,git,rank,1
Math-104b,True,True,skip,add,git,rank,2
Math-105b,True,True,skip,add,git,rank,3
Math-106b,True,True,skip,add,git,rank,1
Math-14b,True,True,skip,add,git,rank,2
Math-15b,True,True,skip,add,git,rank,22
Math-17b,True,True,skip,add,git,rank,1
Math-2b,True,True,skip,add,git,rank,13
Math-23b,True,True,skip,add,git,rank,14
Math-24b,True,True,skip,add,git,rank,13
Math-25b,True,True,skip,add,git,rank,1
Math-26b,True,True,skip,add,git,rank,4
Math-28b,True,True,skip,add,git,rank,9
Math-3b,True,True,skip,add,git,rank,2
Math-35b,True,True,skip,add,git,rank,3
Math-42b,True,True,skip,add,git,rank,18
Math-45b,True,True,skip,add,git,rank,5
Math-46b,True,True,skip,add,git,rank,1
Math-48b,True,True,skip,add,git,rank,20
Math-50b,True,True,skip,add,git,rank,16
Math-53b,True,True,skip,add,git,rank,6
Math-54b,True,True,skip,add,git,rank,1
Math-55b,True,True,skip,add,git,rank,5
Math-60b,True,True,skip,add,git,rank,29
Math-63b,True,True,skip,add,git,rank,1
Math-64b,True,True,skip,add,git,rank,4
Math-70b,True,True,skip,add,git,rank,1
Math-75b,True,True,skip,add,git,rank,1
Math-79b,True,True,skip,add,git,rank,4
Math-87b,True,True,skip,add,git,rank,2
Math-88b,True,True,skip,add,git,rank,4
Math-89b,True,True,skip,add,git,rank,2
Math-92b,True,True,skip,add,git,rank,3
Math-93b,True,True,skip,add,git,rank,1
Math-94b,True,True,skip,add,git,rank,1
Math-96b,True,True,skip,add,git,rank,4
Math-97b,True,True,skip,add,git,rank,1
Mockito-8b,True,True,skip,add,git,rank,4
Time-1b,True,True,skip,add,git,rank,8
Time-11b,True,True,skip,add,git,rank,2
Time-15b,True,True,skip,add,git,rank,1
Time-16b,True,True,skip,add,git,rank,1
Time-2b,True,True,skip,add,git,rank,4
Time-7b,True,True,skip,add,git,rank,1
Cli-29b,True,True,skip,add,no_diff,rank,2
Closure-10b,True,True,skip,add,no_diff,rank,215
Closure-104b,True,True,skip,add,no_diff,rank,5
Closure-113b,True,True,skip,add,no_diff,rank,20
Closure-115b,True,True,skip,add,no_diff,rank,59
Closure-120b,True,True,skip,add,no_diff,rank,81
Closure-121b,True,True,skip,add,no_diff,rank,332
Closure-128b,True,True,skip,add,no_diff,rank,156
Closure-133b,True,True,skip,add,no_diff,rank,4
Closure-17b,True,True,skip,add,no_diff,rank,370
Closure-2b,True,True,skip,add,no_diff,rank,226
Closure-21b,True,True,skip,add,no_diff,rank,5
Closure-27b,True,True,skip,add,no_diff,rank,1
Closure-30b,True,True,skip,add,no_diff,rank,145
Closure-31b,True,True,skip,add,no_diff,rank,15
Closure-33b,True,True,skip,add,no_diff,rank,4
Closure-48b,True,True,skip,add,no_diff,rank,340
Closure-52b,True,True,skip,add,no_diff,rank,41
Closure-59b,True,True,skip,add,no_diff,rank,81
Closure-60b,True,True,skip,add,no_diff,rank,20
Closure-61b,True,True,skip,add,no_diff,rank,85
Closure-62b,True,True,skip,add,no_diff,rank,4
Closure-64b,True,True,skip,add,no_diff,rank,212
Closure-65b,True,True,skip,add,no_diff,rank,62
Closure-66b,True,True,skip,add,no_diff,rank,45
Closure-68b,True,True,skip,add,no_diff,rank,29
Closure-73b,True,True,skip,add,no_diff,rank,8
Closure-74b,True,True,skip,add,no_diff,rank,47
Closure-76b,True,True,skip,add,no_diff,rank,51
Closure-8b,True,True,skip,add,no_diff,rank,251
Closure-80b,True,True,skip,add,no_diff,rank,17
Closure-82b,True,True,skip,add,no_diff,rank,6
Closure-85b,True,True,skip,add,no_diff,rank,40
Closure-91b,True,True,skip,add,no_diff,rank,24
Closure-92b,True,True,skip,add,no_diff,rank,89
Closure-99b,True,True,skip,add,no_diff,rank,4
Codec-10b,True,True,skip,add,no_diff,rank,3
Codec-18b,True,True,skip,add,no_diff,rank,1
Codec-3b,True,True,skip,add,no_diff,rank,3
Compress-26b,True,True,skip,add,no_diff,rank,2
Compress-39b,True,True,skip,add,no_diff,rank,2
Compress-44b,True,True,skip,add,no_diff,rank,1
Compress-7b,True,True,skip,add,no_diff,rank,2
Compress-8b,True,True,skip,add,no_diff,rank,1
Gson-15b,True,True,skip,add,no_diff,rank,3
JacksonCore-14b,True,True,skip,add,no_diff,rank,8
JacksonCore-4b,True,True,skip,add,no_diff,rank,6
