"FixedVars","InteractionTerm","PValue","DependentName"
"","score_mode",6.66217043868546e-141,"rank"
"","ensemble",0,"rank"
"","use_diff",9.14578341504292e-98,"rank"
"","adddel",6.28937653851965e-86,"rank"
"","score_mode:ensemble",0,"rank"
"","score_mode:use_diff",3.96025229249773e-27,"rank"
"","ensemble:use_diff",2.96266761577231e-115,"rank"
"","score_mode:adddel",8.22987902712781e-30,"rank"
"","ensemble:adddel",2.72344067890325e-77,"rank"
"","use_diff:adddel",3.58573218336634e-74,"rank"
"","score_mode:ensemble:use_diff",1.59442160110763e-93,"rank"
"","score_mode:ensemble:adddel",3.30787578445133e-59,"rank"
"","score_mode:use_diff:adddel",2.55593594563535e-26,"rank"
"","ensemble:use_diff:adddel",5.45653159260322e-91,"rank"
"","score_mode:ensemble:use_diff:adddel",7.404762434945e-62,"rank"
"","score_mode",0,"num_iters"
"","ensemble",1.06614495161677e-68,"num_iters"
"","use_diff",3.14657864823755e-06,"num_iters"
"","adddel",4.99761391293048e-20,"num_iters"
"","score_mode:ensemble",1.36605268230942e-300,"num_iters"
"","score_mode:use_diff",8.24814008320431e-105,"num_iters"
"","ensemble:use_diff",1.36306969195979e-27,"num_iters"
"","score_mode:adddel",0.00643530216413704,"num_iters"
"","ensemble:adddel",9.34033404374776e-39,"num_iters"
"","use_diff:adddel",3.79259610588938e-30,"num_iters"
"","score_mode:ensemble:use_diff",4.97565419845503e-120,"num_iters"
"","score_mode:ensemble:adddel",3.61549799158218e-22,"num_iters"
"","score_mode:use_diff:adddel",4.08483404431334e-05,"num_iters"
"","ensemble:use_diff:adddel",5.90666842816131e-28,"num_iters"
"","score_mode:ensemble:use_diff:adddel",4.24076877504279e-19,"num_iters"
