"InteractionTerm","PValue","DependentName"
"score_mode",1.83705417543586e-26,"rank"
"ensemble",0.0166217308044753,"rank"
"use_diff",0.183069967670667,"rank"
"adddel",1.10162984423265e-25,"rank"
"score_mode:ensemble",4.39194268426898e-30,"rank"
"score_mode:use_diff",6.7944780298457e-16,"rank"
"ensemble:use_diff",4.43765906924926e-35,"rank"
"score_mode:adddel",1.90427666596603e-18,"rank"
"ensemble:adddel",1.97809853164664e-19,"rank"
"use_diff:adddel",2.74514398749286e-28,"rank"
"score_mode:ensemble:use_diff",7.83973134203017e-48,"rank"
"score_mode:ensemble:adddel",0.00107382707046061,"rank"
"score_mode:use_diff:adddel",7.67471047390902e-27,"rank"
"ensemble:use_diff:adddel",1.79941052553532e-20,"rank"
"score_mode:ensemble:use_diff:adddel",2.55670857553365e-11,"rank"
"score_mode",3.33424901260697e-124,"num_iters"
"ensemble",1.59132746144284e-139,"num_iters"
"use_diff",1.74263756646964e-49,"num_iters"
"adddel",3.40414451999718e-27,"num_iters"
"score_mode:ensemble",4.65991038275702e-110,"num_iters"
"score_mode:use_diff",1.1748068022263e-92,"num_iters"
"ensemble:use_diff",1.04918123880752e-147,"num_iters"
"score_mode:adddel",1.35117614878375e-125,"num_iters"
"ensemble:adddel",3.95260505501973e-71,"num_iters"
"use_diff:adddel",1.06371725752677e-59,"num_iters"
"score_mode:ensemble:use_diff",2.92403081885287e-92,"num_iters"
"score_mode:ensemble:adddel",3.87749351831678e-73,"num_iters"
"score_mode:use_diff:adddel",5.84871876465492e-85,"num_iters"
"ensemble:use_diff:adddel",5.09676290369982e-46,"num_iters"
"score_mode:ensemble:use_diff:adddel",1.55134509778428e-39,"num_iters"
