"FixedVars","InteractionTerm","PValue","DependentName"
"","score_mode",5.02609687163412e-62,"rank"
"","ensemble",4.50282941731588e-107,"rank"
"","use_diff",6.52057115410088e-13,"rank"
"","adddel",4.59103685783249e-17,"rank"
"","score_mode:ensemble",6.94173188055163e-93,"rank"
"","score_mode:use_diff",3.24901815356097e-12,"rank"
"","ensemble:use_diff",1.07697259797926e-48,"rank"
"","score_mode:adddel",1.09537366333536e-06,"rank"
"","ensemble:adddel",5.84324796241132e-28,"rank"
"","use_diff:adddel",3.35653844695852e-07,"rank"
"","score_mode:ensemble:use_diff",7.79611677629549e-88,"rank"
"","score_mode:ensemble:adddel",1.02575792940374e-23,"rank"
"","score_mode:use_diff:adddel",7.94737113761123e-07,"rank"
"","ensemble:use_diff:adddel",1.76296247527367e-25,"rank"
"","score_mode:ensemble:use_diff:adddel",3.95644026390327e-24,"rank"
"","score_mode",0,"num_iters"
"","ensemble",8.45165224433155e-229,"num_iters"
"","use_diff",1.43163926108486e-56,"num_iters"
"","adddel",3.74941660157209e-08,"num_iters"
"","score_mode:ensemble",1.48219693752374e-323,"num_iters"
"","score_mode:use_diff",2.19337349934075e-33,"num_iters"
"","ensemble:use_diff",1.25934822451498e-50,"num_iters"
"","score_mode:adddel",1.8716394960643e-06,"num_iters"
"","ensemble:adddel",7.09560341896192e-10,"num_iters"
"","use_diff:adddel",2.59710761450024e-11,"num_iters"
"","score_mode:ensemble:use_diff",1.26506408280604e-56,"num_iters"
"","score_mode:ensemble:adddel",4.10630816502178e-11,"num_iters"
"","score_mode:use_diff:adddel",2.46069962293643e-11,"num_iters"
"","ensemble:use_diff:adddel",0.000128473596973674,"num_iters"
"","score_mode:ensemble:use_diff:adddel",0.00184446024614258,"num_iters"
