"FixedVars","InteractionTerm","PValue","DependentName"
"","score_mode",2.83480471103337e-142,"rank"
"","ensemble",0,"rank"
"","use_diff",2.78743548155486e-106,"rank"
"","adddel",3.89417143684672e-36,"rank"
"","score_mode:ensemble",3.43879382993388e-304,"rank"
"","score_mode:use_diff",2.33440777087787e-44,"rank"
"","ensemble:use_diff",4.61043411697576e-158,"rank"
"","score_mode:adddel",6.50710917276252e-15,"rank"
"","ensemble:adddel",9.1005171769825e-32,"rank"
"","use_diff:adddel",5.40847525693187e-22,"rank"
"","score_mode:ensemble:use_diff",2.67498208177105e-155,"rank"
"","score_mode:ensemble:adddel",1.80796241043787e-07,"rank"
"","score_mode:use_diff:adddel",1.7129440595387e-14,"rank"
"","ensemble:use_diff:adddel",3.09203298964554e-31,"rank"
"","score_mode:ensemble:use_diff:adddel",2.07737375643782e-10,"rank"
"","score_mode",0,"num_iters"
"","ensemble",1.08872930272473e-85,"num_iters"
"","use_diff",1.10684275216515e-53,"num_iters"
"","adddel",6.25124224751995e-53,"num_iters"
"","score_mode:ensemble",1.13371306280142e-309,"num_iters"
"","score_mode:use_diff",4.99514067042866e-159,"num_iters"
"","ensemble:use_diff",5.27833820251609e-51,"num_iters"
"","score_mode:adddel",6.52127016785516e-07,"num_iters"
"","ensemble:adddel",1.44143049238023e-48,"num_iters"
"","use_diff:adddel",3.68861906802949e-45,"num_iters"
"","score_mode:ensemble:use_diff",1.6410603721859e-136,"num_iters"
"","score_mode:ensemble:adddel",3.17893663023994e-19,"num_iters"
"","score_mode:use_diff:adddel",9.15378604088326e-15,"num_iters"
"","ensemble:use_diff:adddel",6.51219158925988e-37,"num_iters"
"","score_mode:ensemble:use_diff:adddel",3.15035556217311e-18,"num_iters"
