"Test","contrast","estimate","SE","df","z.ratio","p.value","setting_1","setting_2"
"rank","both,('add', 0.1),False,add - both,mul,True,add",-2365.03846153845,351.867208827266,Inf,-6.72139489616226,5.16220061193333e-07,"both,('add', 0.1),False,add","both,mul,True,add"
"rank","both,('add', 0.1),False,add - (both,mul,True,all-uni)",-2416.26923076922,351.867208827266,Inf,-6.86699178028657,1.88054319491481e-07,"both,('add', 0.1),False,add","(both,mul,True,all-uni)"
"rank","both,('add', 0.1),False,add - rank,('add', 0.1),False,add",-2528.92692307691,351.867208827266,Inf,-7.18716282629898,1.8972251475661e-08,"both,('add', 0.1),False,add","rank,('add', 0.1),False,add"
"rank","both,('add', 0.1),False,add - (rank,('add', 0.1),False,all-sep)",-2537.69999999999,351.867208827267,Inf,-7.21209574617041,1.58018795087555e-08,"both,('add', 0.1),False,add","(rank,('add', 0.1),False,all-sep)"
"rank","both,('add', 0.1),False,add - (rank,('add', 0.1),False,all-uni)",-2442.82692307691,351.867208827267,Inf,-6.94246824311528,1.10506216029946e-07,"both,('add', 0.1),False,add","(rank,('add', 0.1),False,all-uni)"
"rank","both,('add', 0.1),False,add - rank,('add', 0.1),False,del",-2528.92692307691,351.867208827267,Inf,-7.18716282629897,1.89722514756614e-08,"both,('add', 0.1),False,add","rank,('add', 0.1),False,del"
"rank","both,('add', 0.1),False,add - rank,('add', 0.1),True,add",-3865.06923076922,351.867208827266,Inf,-10.984454174207,1.30199867742463e-23,"both,('add', 0.1),False,add","rank,('add', 0.1),True,add"
"rank","both,('add', 0.1),False,add - (rank,('add', 0.1),True,all-sep)",-3512.86923076922,351.867208827267,Inf,-9.98350838794332,5.16204710669737e-19,"both,('add', 0.1),False,add","(rank,('add', 0.1),True,all-sep)"
"rank","both,('add', 0.1),False,add - (rank,('add', 0.1),True,all-uni)",-3919.06153846152,351.867208827266,Inf,-11.1378992987818,2.35266185386709e-24,"both,('add', 0.1),False,add","(rank,('add', 0.1),True,all-uni)"
"rank","both,('add', 0.1),False,add - rank,('add', 0.1),True,del",-2174.43076923075,351.867208827267,Inf,-6.17969141392256,1.84203089314388e-05,"both,('add', 0.1),False,add","rank,('add', 0.1),True,del"
"rank","both,('add', 0.1),False,add - rank,('add', 0.2),True,add",-2402.88846153845,351.867208827266,Inf,-6.82896388540154,2.45300328585214e-07,"both,('add', 0.1),False,add","rank,('add', 0.2),True,add"
"rank","both,('add', 0.1),False,add - (rank,('add', 0.2),True,all-sep)",-2136.26153846152,351.867208827267,Inf,-6.07121517683174,3.64080996314049e-05,"both,('add', 0.1),False,add","(rank,('add', 0.2),True,all-sep)"
"rank","both,('add', 0.1),False,add - (rank,('add', 0.2),True,all-uni)",-2497.54999999999,351.867208827266,Inf,-7.09799020012134,3.63043365490633e-08,"both,('add', 0.1),False,add","(rank,('add', 0.2),True,all-uni)"
"rank","(both,('add', 0.1),False,all-sep) - both,mul,True,add",-2459.58846153847,351.867208827266,Inf,-6.99010422066892,7.877883122196e-08,"(both,('add', 0.1),False,all-sep)","both,mul,True,add"
"rank","(both,('add', 0.1),False,all-sep) - (both,mul,True,all-uni)",-2510.81923076924,351.867208827266,Inf,-7.13570110479323,2.76174221130993e-08,"(both,('add', 0.1),False,all-sep)","(both,mul,True,all-uni)"
"rank","(both,('add', 0.1),False,all-sep) - rank,('add', 0.1),False,add",-2623.47692307693,351.867208827266,Inf,-7.45587215080564,2.5604151290969e-09,"(both,('add', 0.1),False,all-sep)","rank,('add', 0.1),False,add"
"rank","(both,('add', 0.1),False,all-sep) - (rank,('add', 0.1),False,all-sep)",-2632.25,351.867208827266,Inf,-7.48080507067707,2.11855368455435e-09,"(both,('add', 0.1),False,all-sep)","(rank,('add', 0.1),False,all-sep)"
"rank","(both,('add', 0.1),False,all-sep) - (rank,('add', 0.1),False,all-uni)",-2537.37692307693,351.867208827266,Inf,-7.21117756762194,1.59088140117188e-08,"(both,('add', 0.1),False,all-sep)","(rank,('add', 0.1),False,all-uni)"
"rank","(both,('add', 0.1),False,all-sep) - rank,('add', 0.1),False,del",-2623.47692307693,351.867208827267,Inf,-7.45587215080563,2.56041512909696e-09,"(both,('add', 0.1),False,all-sep)","rank,('add', 0.1),False,del"
"rank","(both,('add', 0.1),False,all-sep) - rank,('add', 0.1),True,add",-3959.61923076924,351.867208827266,Inf,-11.2531634987136,6.4080240687002e-25,"(both,('add', 0.1),False,all-sep)","rank,('add', 0.1),True,add"
"rank","(both,('add', 0.1),False,all-sep) - (rank,('add', 0.1),True,all-sep)",-3607.41923076924,351.867208827267,Inf,-10.25221771245,3.31709717416153e-20,"(both,('add', 0.1),False,all-sep)","(rank,('add', 0.1),True,all-sep)"
"rank","(both,('add', 0.1),False,all-sep) - (rank,('add', 0.1),True,all-uni)",-4013.61153846154,351.867208827266,Inf,-11.4066086232885,1.11148264157607e-25,"(both,('add', 0.1),False,all-sep)","(rank,('add', 0.1),True,all-uni)"
"rank","(both,('add', 0.1),False,all-sep) - rank,('add', 0.1),True,del",-2268.98076923077,351.867208827266,Inf,-6.44840073842922,3.24188845413513e-06,"(both,('add', 0.1),False,all-sep)","rank,('add', 0.1),True,del"
"rank","(both,('add', 0.1),False,all-sep) - rank,('add', 0.2),True,add",-2497.43846153846,351.867208827266,Inf,-7.0976732099082,3.63876773428328e-08,"(both,('add', 0.1),False,all-sep)","rank,('add', 0.2),True,add"
"rank","(both,('add', 0.1),False,all-sep) - (rank,('add', 0.2),True,all-sep)",-2230.81153846154,351.867208827266,Inf,-6.3399245013384,6.5928948271773e-06,"(both,('add', 0.1),False,all-sep)","(rank,('add', 0.2),True,all-sep)"
"rank","(both,('add', 0.1),False,all-sep) - (rank,('add', 0.2),True,all-uni)",-2592.1,351.867208827266,Inf,-7.366699524628,5.01624941312437e-09,"(both,('add', 0.1),False,all-sep)","(rank,('add', 0.2),True,all-uni)"
"rank","(both,('add', 0.1),False,all-uni) - both,mul,True,add",-2411.49615384615,351.867208827266,Inf,-6.85342678530174,2.0678727893302e-07,"(both,('add', 0.1),False,all-uni)","both,mul,True,add"
"rank","(both,('add', 0.1),False,all-uni) - (both,mul,True,all-uni)",-2462.72692307692,351.867208827266,Inf,-6.99902366942605,7.39233650757253e-08,"(both,('add', 0.1),False,all-uni)","(both,mul,True,all-uni)"
"rank","(both,('add', 0.1),False,all-uni) - rank,('add', 0.1),False,add",-2575.38461538461,351.867208827266,Inf,-7.31919471543846,7.1546104675476e-09,"(both,('add', 0.1),False,all-uni)","rank,('add', 0.1),False,add"
"rank","(both,('add', 0.1),False,all-uni) - (rank,('add', 0.1),False,all-sep)",-2584.15769230768,351.867208827266,Inf,-7.34412763530989,5.93978341569402e-09,"(both,('add', 0.1),False,all-uni)","(rank,('add', 0.1),False,all-sep)"
"rank","(both,('add', 0.1),False,all-uni) - (rank,('add', 0.1),False,all-uni)",-2489.28461538461,351.867208827266,Inf,-7.07450013225476,4.30166798847768e-08,"(both,('add', 0.1),False,all-uni)","(rank,('add', 0.1),False,all-uni)"
"rank","(both,('add', 0.1),False,all-uni) - rank,('add', 0.1),False,del",-2575.38461538461,351.867208827267,Inf,-7.31919471543845,7.1546104675477e-09,"(both,('add', 0.1),False,all-uni)","rank,('add', 0.1),False,del"
"rank","(both,('add', 0.1),False,all-uni) - rank,('add', 0.1),True,add",-3911.52692307692,351.867208827266,Inf,-11.1164860633464,2.99130902989555e-24,"(both,('add', 0.1),False,all-uni)","rank,('add', 0.1),True,add"
"rank","(both,('add', 0.1),False,all-uni) - (rank,('add', 0.1),True,all-sep)",-3559.32692307692,351.867208827267,Inf,-10.1155402770828,1.35200058972882e-19,"(both,('add', 0.1),False,all-uni)","(rank,('add', 0.1),True,all-sep)"
"rank","(both,('add', 0.1),False,all-uni) - (rank,('add', 0.1),True,all-uni)",-3965.51923076922,351.867208827266,Inf,-11.2699311879213,5.29760330602044e-25,"(both,('add', 0.1),False,all-uni)","(rank,('add', 0.1),True,all-uni)"
"rank","(both,('add', 0.1),False,all-uni) - rank,('add', 0.1),True,del",-2220.88846153845,351.867208827266,Inf,-6.31172330306204,7.91411038471097e-06,"(both,('add', 0.1),False,all-uni)","rank,('add', 0.1),True,del"
"rank","(both,('add', 0.1),False,all-uni) - rank,('add', 0.2),True,add",-2449.34615384615,351.867208827266,Inf,-6.96099577454102,9.69028106992165e-08,"(both,('add', 0.1),False,all-uni)","rank,('add', 0.2),True,add"
"rank","(both,('add', 0.1),False,all-uni) - (rank,('add', 0.2),True,all-sep)",-2182.71923076922,351.867208827266,Inf,-6.20324706597122,1.58628802861533e-05,"(both,('add', 0.1),False,all-uni)","(rank,('add', 0.2),True,all-sep)"
"rank","(both,('add', 0.1),False,all-uni) - (rank,('add', 0.2),True,all-uni)",-2544.00769230769,351.867208827266,Inf,-7.23002208926082,1.38500160007142e-08,"(both,('add', 0.1),False,all-uni)","(rank,('add', 0.2),True,all-uni)"
"rank","both,('add', 0.1),False,del - both,mul,True,add",-2333.35769230769,351.867208827266,Inf,-6.63135874492114,9.53927624915644e-07,"both,('add', 0.1),False,del","both,mul,True,add"
"rank","both,('add', 0.1),False,del - (both,mul,True,all-uni)",-2384.58846153846,351.867208827266,Inf,-6.77695562904546,3.52002718343462e-07,"both,('add', 0.1),False,del","(both,mul,True,all-uni)"
"rank","both,('add', 0.1),False,del - rank,('add', 0.1),False,add",-2497.24615384615,351.867208827266,Inf,-7.09712667505786,3.65318094396954e-08,"both,('add', 0.1),False,del","rank,('add', 0.1),False,add"
"rank","both,('add', 0.1),False,del - (rank,('add', 0.1),False,all-sep)",-2506.01923076922,351.867208827266,Inf,-7.1220595949293,3.04943142319884e-08,"both,('add', 0.1),False,del","(rank,('add', 0.1),False,all-sep)"
"rank","both,('add', 0.1),False,del - (rank,('add', 0.1),False,all-uni)",-2411.14615384615,351.867208827266,Inf,-6.85243209187416,2.08230727007403e-07,"both,('add', 0.1),False,del","(rank,('add', 0.1),False,all-uni)"
"rank","both,('add', 0.1),False,del - rank,('add', 0.1),False,del",-2497.24615384615,351.867208827267,Inf,-7.09712667505786,3.65318094396959e-08,"both,('add', 0.1),False,del","rank,('add', 0.1),False,del"
"rank","both,('add', 0.1),False,del - rank,('add', 0.1),True,add",-3833.38846153846,351.867208827266,Inf,-10.8944180229658,3.51466276891727e-23,"both,('add', 0.1),False,del","rank,('add', 0.1),True,add"
"rank","both,('add', 0.1),False,del - (rank,('add', 0.1),True,all-sep)",-3481.18846153846,351.867208827267,Inf,-9.8934722367022,1.27437537770947e-18,"both,('add', 0.1),False,del","(rank,('add', 0.1),True,all-sep)"
"rank","both,('add', 0.1),False,del - (rank,('add', 0.1),True,all-uni)",-3887.38076923076,351.867208827266,Inf,-11.0478631475407,6.43851210183181e-24,"both,('add', 0.1),False,del","(rank,('add', 0.1),True,all-uni)"
"rank","both,('add', 0.1),False,del - rank,('add', 0.1),True,del",-2142.74999999999,351.867208827266,Inf,-6.08965526268144,3.2452589972675e-05,"both,('add', 0.1),False,del","rank,('add', 0.1),True,del"
"rank","both,('add', 0.1),False,del - rank,('add', 0.2),True,add",-2371.20769230768,351.867208827266,Inf,-6.73892773416043,4.57617307360014e-07,"both,('add', 0.1),False,del","rank,('add', 0.2),True,add"
"rank","both,('add', 0.1),False,del - (rank,('add', 0.2),True,all-sep)",-2104.58076923076,351.867208827267,Inf,-5.98117902559062,6.35342968855101e-05,"both,('add', 0.1),False,del","(rank,('add', 0.2),True,all-sep)"
"rank","both,('add', 0.1),False,del - (rank,('add', 0.2),True,all-uni)",-2465.86923076922,351.867208827266,Inf,-7.00795404888022,6.93563266593087e-08,"both,('add', 0.1),False,del","(rank,('add', 0.2),True,all-uni)"
"rank","both,('add', 0.1),True,add - both,mul,True,add",-2794.1,351.867208827266,Inf,-7.94077973140044,5.76221905244078e-11,"both,('add', 0.1),True,add","both,mul,True,add"
"rank","both,('add', 0.1),True,add - (both,mul,True,all-sep)",-1960.85384615385,351.867208827266,Inf,-5.57270980916112,0.000719314921923506,"both,('add', 0.1),True,add","(both,mul,True,all-sep)"
"rank","both,('add', 0.1),True,add - (both,mul,True,all-uni)",-2845.33076923077,351.867208827266,Inf,-8.08637661552476,1.76284269704907e-11,"both,('add', 0.1),True,add","(both,mul,True,all-uni)"
"rank","both,('add', 0.1),True,add - rank,('add', 0.1),False,add",-2957.98846153847,351.867208827266,Inf,-8.40654766153716,1.21102956832932e-12,"both,('add', 0.1),True,add","rank,('add', 0.1),False,add"
