is_addition,old_file_path,new_file_path,line_num,content
False,src/org/mockito/internal/matchers/ArrayEquals.java,src/org/mockito/internal/matchers/ArrayEquals.java,49, else {
False,src/org/mockito/internal/matchers/ArrayEquals.java,src/org/mockito/internal/matchers/ArrayEquals.java,50,"hrow new IllegalArgumentException(""Something went really wrong. Arguments passed to ArrayEquals have to be an array or null!"");"
True,src/org/mockito/internal/matchers/ArrayEquals.java,src/org/mockito/internal/matchers/ArrayEquals.java,50,return false;
True,test/org/mockitousage/matchers/MatchersTest.java,test/org/mockitousage/matchers/MatchersTest.java,13,import java.util.List;
True,test/org/mockitousage/matchers/MatchersTest.java,test/org/mockitousage/matchers/MatchersTest.java,20,import org.mockito.exceptions.verification.junit.ArgumentsAreDifferent;
True,test/org/mockitousage/matchers/MatchersTest.java,test/org/mockitousage/matchers/MatchersTest.java,280,@Test(expected=ArgumentsAreDifferent.class)
True,test/org/mockitousage/matchers/MatchersTest.java,test/org/mockitousage/matchers/MatchersTest.java,281,public void arrayEqualsShouldThrowArgumentsAreDifferentExceptionForNonMatchingArguments() {
True,test/org/mockitousage/matchers/MatchersTest.java,test/org/mockitousage/matchers/MatchersTest.java,282,List list = Mockito.mock(List.class);
True,test/org/mockitousage/matchers/MatchersTest.java,test/org/mockitousage/matchers/MatchersTest.java,284,"list.add(""test""); // testing fix for issue 20"
True,test/org/mockitousage/matchers/MatchersTest.java,test/org/mockitousage/matchers/MatchersTest.java,285,"list.contains(new Object[] {""1""});"
True,test/org/mockitousage/matchers/MatchersTest.java,test/org/mockitousage/matchers/MatchersTest.java,287,"Mockito.verify(list).contains(new Object[] {""1"",""2"", ""3""});"
