"contrast","estimate","SE","df","z.ratio","p.value","Winner","Loser"
"both,False,False,False,add - (both,False,False,False,all-sep)",56.9730769230772,175.182821557037,Inf,0.32522068326504,1,"both,False,False,False,add","(both,False,False,False,all-sep)"
"both,False,False,False,add - (both,False,False,False,all-uni)",-9.48461538461626,175.182821557037,Inf,-0.0541412411349259,1,"both,False,False,False,add","(both,False,False,False,all-uni)"
"both,False,False,False,add - both,False,False,False,del",-21.0807692307695,175.182821557037,Inf,-0.120335824274333,1,"both,False,False,False,add","both,False,False,False,del"
"both,False,False,False,add - both,False,False,True,add",51.3307692307696,175.182821557037,Inf,0.293012572662879,1,"both,False,False,False,add","both,False,False,True,add"
"both,False,False,False,add - (both,False,False,True,all-sep)",103.569230769231,175.182821557037,Inf,0.591206545531691,1,"both,False,False,False,add","(both,False,False,True,all-sep)"
"both,False,False,False,add - (both,False,False,True,all-uni)",132.15,175.182821557037,Inf,0.754354786761863,1,"both,False,False,False,add","(both,False,False,True,all-uni)"
"both,False,False,False,add - both,False,False,True,del",91.8730769230768,175.182821557037,Inf,0.524441130166202,1,"both,False,False,False,add","both,False,False,True,del"
"both,False,False,False,add - both,False,skip,False,add",-289.419230769231,175.182821557037,Inf,-1.65209823769735,1,"both,False,False,False,add","both,False,skip,False,add"
"both,False,False,False,add - (both,False,skip,False,all-sep)",-235.473076923077,175.182821557037,Inf,-1.34415620681398,1,"both,False,False,False,add","(both,False,skip,False,all-sep)"
"both,False,False,False,add - (both,False,skip,False,all-uni)",-289.419230769231,175.182821557037,Inf,-1.65209823769735,1,"both,False,False,False,add","(both,False,skip,False,all-uni)"
"both,False,False,False,add - both,False,skip,False,del",-277.823076923077,175.182821557037,Inf,-1.58590365455794,1,"both,False,False,False,add","both,False,skip,False,del"
"both,False,False,False,add - both,False,skip,True,add",-297.661538461539,175.182821557037,Inf,-1.69914798617754,1,"both,False,False,False,add","both,False,skip,True,add"
"both,False,False,False,add - (both,False,skip,True,all-sep)",-169.919230769231,175.182821557037,Inf,-0.969953727534337,1,"both,False,False,False,add","(both,False,skip,True,all-sep)"
"both,False,False,False,add - (both,False,skip,True,all-uni)",-201.584615384616,175.182821557037,Inf,-1.15070994743045,1,"both,False,False,False,add","(both,False,skip,True,all-uni)"
"both,False,False,False,add - both,False,skip,True,del",-276.65,175.182821557037,Inf,-1.57920735344433,1,"both,False,False,False,add","both,False,skip,True,del"
"both,False,False,False,add - both,False,True,False,add",96.9884615384613,175.182821557037,Inf,0.553641394038645,1,"both,False,False,False,add","both,False,True,False,add"
"both,False,False,False,add - (both,False,True,False,all-sep)",191.688461538461,175.182821557037,Inf,1.09421951213436,1,"both,False,False,False,add","(both,False,True,False,all-sep)"
"both,False,False,False,add - (both,False,True,False,all-uni)",75.9076923076922,175.182821557037,Inf,0.433305569764314,1,"both,False,False,False,add","(both,False,True,False,all-uni)"
"both,False,False,False,add - both,False,True,False,del",75.9076923076922,175.182821557037,Inf,0.433305569764314,1,"both,False,False,False,add","both,False,True,False,del"
"both,False,False,False,add - both,False,True,True,add",180.223076923077,175.182821557037,Inf,1.02877140190597,1,"both,False,False,False,add","both,False,True,True,add"
"both,False,False,False,add - (both,False,True,True,all-sep)",188.961538461538,175.182821557037,Inf,1.07865335643093,1,"both,False,False,False,add","(both,False,True,True,all-sep)"
"both,False,False,False,add - (both,False,True,True,all-uni)",249.446153846154,175.182821557037,Inf,1.42391903286555,1,"both,False,False,False,add","(both,False,True,True,all-uni)"
"both,False,False,False,add - both,False,True,True,del",209.169230769231,175.182821557037,Inf,1.19400537626989,1,"both,False,False,False,add","both,False,True,True,del"
"both,False,False,False,add - both,True,False,False,add",-217.773076923077,175.182821557037,Inf,-1.2431189027982,1,"both,False,False,False,add","both,True,False,False,add"
"both,False,False,False,add - (both,True,False,False,all-sep)",-82.2384615384615,175.182821557037,Inf,-0.469443640692165,1,"both,False,False,False,add","(both,True,False,False,all-sep)"
"both,False,False,False,add - (both,True,False,False,all-uni)",-246.015384615385,175.182821557037,Inf,-1.40433509649395,1,"both,False,False,False,add","(both,True,False,False,all-uni)"
"both,False,False,False,add - both,True,False,False,del",60.2230769230768,175.182821557037,Inf,0.343772730612567,1,"both,False,False,False,add","both,True,False,False,del"
"both,False,False,False,add - both,True,False,True,add",-578.273076923077,175.182821557037,Inf,-3.3009690778088,0.855001837208505,"both,False,False,False,add","both,True,False,True,add"
"both,False,False,False,add - (both,True,False,True,all-sep)",-375.726923076923,175.182821557037,Inf,-2.14477035897376,0.999999985526221,"both,False,False,False,add","(both,True,False,True,all-sep)"
"both,False,False,False,add - (both,True,False,True,all-uni)",-543.046153846154,175.182821557037,Inf,-3.09988244863007,0.953159125257756,"both,False,False,False,add","(both,True,False,True,all-uni)"
"both,False,False,False,add - both,True,False,True,del",142.653846153846,175.182821557037,Inf,0.814314125585652,1,"both,False,False,False,add","both,True,False,True,del"
"both,False,False,False,add - both,True,skip,False,add",-374.934615384615,175.182821557037,Inf,-2.14024761133638,0.999999987292804,"both,False,False,False,add","both,True,skip,False,add"
"both,False,False,False,add - (both,True,skip,False,all-sep)",-181.576923076923,175.182821557037,Inf,-1.03649959204364,1,"both,False,False,False,add","(both,True,skip,False,all-sep)"
"both,False,False,False,add - (both,True,skip,False,all-uni)",-417.519230769231,175.182821557037,Inf,-2.38333431930306,0.99999492937902,"both,False,False,False,add","(both,True,skip,False,all-uni)"
"both,False,False,False,add - both,True,skip,False,del",-190.007692307692,175.182821557037,Inf,-1.08462513971913,1,"both,False,False,False,add","both,True,skip,False,del"
"both,False,False,False,add - both,True,skip,True,add",-915.619230769231,175.182821557037,Inf,-5.22664963739677,0.00150517606673661,"both,False,False,False,add","both,True,skip,True,add"
"both,False,False,False,add - (both,True,skip,True,all-sep)",-604.180769230769,175.182821557037,Inf,-3.4488585345342,0.738310594693388,"both,False,False,False,add","(both,True,skip,True,all-sep)"
"both,False,False,False,add - (both,True,skip,True,all-uni)",-877.884615384615,175.182821557037,Inf,-5.01124829239486,0.00440533765441042,"both,False,False,False,add","(both,True,skip,True,all-uni)"
"both,False,False,False,add - both,True,skip,True,del",-159.046153846154,175.182821557037,Inf,-0.907886700491181,1,"both,False,False,False,add","both,True,skip,True,del"
"both,False,False,False,add - both,True,True,False,add",-121.519230769231,175.182821557037,Inf,-0.693670930112664,1,"both,False,False,False,add","both,True,True,False,add"
"both,False,False,False,add - (both,True,True,False,all-sep)",-14.4076923076924,175.182821557037,Inf,-0.0822437507264458,1,"both,False,False,False,add","(both,True,True,False,all-sep)"
"both,False,False,False,add - (both,True,True,False,all-uni)",-149.761538461539,175.182821557037,Inf,-0.854887123808416,1,"both,False,False,False,add","(both,True,True,False,all-uni)"
"both,False,False,False,add - both,True,True,False,del",124.534615384615,175.182821557037,Inf,0.710883717237471,1,"both,False,False,False,add","both,True,True,False,del"
