"FixedVars","InteractionTerm","PValue","DependentName"
"score_mode=both, stage2=False","use_diff",0.775886196315438,"rank"
"score_mode=both, stage2=False","use_stopword",0.0138331126934527,"rank"
"score_mode=both, stage2=False","adddel",0.00317146738228207,"rank"
"score_mode=both, stage2=False","use_diff:use_stopword",0.203291817939865,"rank"
"score_mode=both, stage2=False","use_diff:adddel",0.0722157774798438,"rank"
"score_mode=both, stage2=False","use_stopword:adddel",0.104132531413575,"rank"
"score_mode=both, stage2=False","use_diff:use_stopword:adddel",0.00401396223384914,"rank"
"score_mode=both, stage2=True","use_diff",0.811962909227341,"rank"
"score_mode=both, stage2=True","use_stopword",0.0323262193234639,"rank"
"score_mode=both, stage2=True","adddel",0.0944644040235788,"rank"
"score_mode=both, stage2=True","use_diff:use_stopword",0.0880599056878912,"rank"
"score_mode=both, stage2=True","use_diff:adddel",0.19458807720152,"rank"
"score_mode=both, stage2=True","use_stopword:adddel",0.204839362976819,"rank"
"score_mode=both, stage2=True","use_diff:use_stopword:adddel",0.00617000370650936,"rank"
"score_mode=both, stage2=skip","use_diff",0.0131937837091786,"rank"
"score_mode=both, stage2=skip","use_stopword",0.121069774844454,"rank"
"score_mode=both, stage2=skip","adddel",0.0132117022603722,"rank"
"score_mode=both, stage2=skip","use_diff:use_stopword",0.000616261509643231,"rank"
"score_mode=both, stage2=skip","use_diff:adddel",0.0504116315168076,"rank"
"score_mode=both, stage2=skip","use_stopword:adddel",0.678857941211915,"rank"
"score_mode=both, stage2=skip","use_diff:use_stopword:adddel",0.103334120109794,"rank"
"score_mode=rank, stage2=False","use_diff",0.281435311191793,"rank"
"score_mode=rank, stage2=False","use_stopword",0.0122884202704598,"rank"
"score_mode=rank, stage2=False","adddel",0.03901960997784,"rank"
"score_mode=rank, stage2=False","use_diff:use_stopword",0.545851247875544,"rank"
"score_mode=rank, stage2=False","use_diff:adddel",0.139278769893234,"rank"
"score_mode=rank, stage2=False","use_stopword:adddel",0.0617394982182096,"rank"
"score_mode=rank, stage2=False","use_diff:use_stopword:adddel",0.0199215232725635,"rank"
"score_mode=rank, stage2=True","use_diff",0.261835035741855,"rank"
"score_mode=rank, stage2=True","use_stopword",0.0305112737075575,"rank"
"score_mode=rank, stage2=True","adddel",0.0765014807771143,"rank"
"score_mode=rank, stage2=True","use_diff:use_stopword",0.550326926983575,"rank"
"score_mode=rank, stage2=True","use_diff:adddel",0.175197905296778,"rank"
"score_mode=rank, stage2=True","use_stopword:adddel",0.073748918195,"rank"
"score_mode=rank, stage2=True","use_diff:use_stopword:adddel",0.0288453960846801,"rank"
"score_mode=rank, stage2=skip","use_diff",0.0171675319911817,"rank"
"score_mode=rank, stage2=skip","use_stopword",0.255641182231344,"rank"
"score_mode=rank, stage2=skip","adddel",0.443275630609403,"rank"
"score_mode=rank, stage2=skip","use_diff:use_stopword",0.00652209065834736,"rank"
"score_mode=rank, stage2=skip","use_diff:adddel",0.598389122900218,"rank"
"score_mode=rank, stage2=skip","use_stopword:adddel",0.888780179435943,"rank"
"score_mode=rank, stage2=skip","use_diff:use_stopword:adddel",0.250416756725435,"rank"
"score_mode=score, stage2=False","use_diff",0.236921480401782,"rank"
"score_mode=score, stage2=False","use_stopword",0.0218396228432867,"rank"
