Term,F,Df,Df.res,Pr(>F),DependentName,IVs
stage2,85.3708101266913,2,18446.9999999984,1.24297102881054e-37,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode,38.8150119625183,2,18447.0000000173,1.50738792621865e-17,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
use_diff,92.1592931123868,1,18446.9999999858,8.99173377970952e-22,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
use_stopword,55.4564919054878,1,18447.000000011,9.97573780914065e-14,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
adddel,27.3680805395599,3,18446.9999999908,1.18637248196563e-17,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode,8.13777334081815,4,18447.000000011,1.49471842081081e-06,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_diff,2.35194501255959,2,18446.9999999984,0.0952123901906885,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_diff,33.4394352786378,2,18447.0000000173,3.18933260794943e-15,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_stopword,2.04281360057385,2,18447.0000000173,0.129692707702206,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_stopword,17.0875939834454,2,18446.9999999984,3.85316775853271e-08,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
use_diff:use_stopword,46.9393187985377,1,18447.000000011,7.55294460619088e-12,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:adddel,0.811829681976749,6,18446.9999999984,0.560479568985956,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:adddel,9.0023631713525,6,18446.9999999984,7.58168411288784e-10,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
use_diff:adddel,26.8632994192116,3,18447.0000000059,2.49852661306255e-17,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
use_stopword:adddel,9.44421824116152,3,18446.9999999908,3.12404565363817e-06,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_diff,1.2625349344924,4,18447.000000011,0.282233621642451,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_stopword,1.17726977847229,4,18447.000000011,0.318509267588925,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_diff:use_stopword,0.680672778369379,2,18446.9999999984,0.506288981225776,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:use_stopword,21.8904132946215,2,18446.9999999984,3.19431670061308e-10,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:adddel,0.611740888936453,12,18447.0000000038,0.834251281150222,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_diff:adddel,0.623204916318865,6,18446.9999999984,0.711912681594628,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:adddel,9.1782989045468,6,18446.9999999984,4.64905380621096e-10,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_stopword:adddel,0.473791735443423,6,18446.9999999984,0.828297897138637,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_stopword:adddel,4.94536232094869,6,18446.9999999984,4.57802743078006e-05,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
use_diff:use_stopword:adddel,7.20954463668923,3,18446.9999999908,7.83811039694604e-05,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_diff:use_stopword,3.27107038690937,4,18446.9999999858,0.0108897786624765,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_diff:adddel,0.590270370093946,12,18446.9999999984,0.852026049955397,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_stopword:adddel,0.364024415181435,12,18447.0000000038,0.975821525186158,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_diff:use_stopword:adddel,0.276033619105641,6,18446.9999999984,0.948444354768387,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:use_stopword:adddel,4.56211714849184,6,18446.9999999984,0.000124208546326636,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_diff:use_stopword:adddel,0.426156044816474,12,18447.0000000092,0.954042987795385,num_iters,stage2 + score_mode + use_diff + use_stopword + adddel
