Term,F,Df,Df.res,Pr(>F),DependentName,IVs
score_mode,1.21973514984082e-53,2,18447.0000000173,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff,4.55035501855921,1,18446.9999999858,0.0329250805591431,rank,score_mode + use_diff + stage2 + use_stopword + adddel
stage2,19.6006575039394,2,18446.9999999984,3.13743421950256e-09,rank,score_mode + use_diff + stage2 + use_stopword + adddel
use_stopword,30.6930878988667,1,18446.9999999858,3.06370233613878e-08,rank,score_mode + use_diff + stage2 + use_stopword + adddel
adddel,32.5856836324484,3,18446.9999999908,5.3534597242475e-21,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff,3.40174092628434e-53,2,18447.0000000173,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:stage2,4.09664317079334e-54,4,18447.000000011,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:stage2,0.201067654910731,2,18447.0000000173,0.817858890013885,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_stopword,1.36554772359778e-54,2,18447.0000000173,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:use_stopword,58.8574969026357,1,18447.000000011,1.77926180590057e-14,rank,score_mode + use_diff + stage2 + use_stopword + adddel
stage2:use_stopword,1.00662196491103,2,18446.9999999984,0.365471477698939,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:adddel,0,6,18446.9999999984,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:adddel,18.7940919361932,3,18446.9999999908,3.62902369438647e-12,rank,score_mode + use_diff + stage2 + use_stopword + adddel
stage2:adddel,0.284759115577343,6,18446.9999999984,0.944450682169137,rank,score_mode + use_diff + stage2 + use_stopword + adddel
use_stopword:adddel,8.82880532541751,3,18446.9999999908,7.60999734005503e-06,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:stage2,4.09664317079335e-54,4,18447.000000011,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:use_stopword,1.36554772359778e-54,2,18447.0000000173,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:stage2:use_stopword,4.09664317079335e-54,4,18447.000000011,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:stage2:use_stopword,0.137038159016471,2,18446.9999999795,0.871937840883629,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:adddel,0,6,18446.9999999984,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:stage2:adddel,0,12,18447.0000000038,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:stage2:adddel,0.0476285638664363,6,18446.9999999984,0.999562912692905,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_stopword:adddel,0,6,18446.9999999984,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:use_stopword:adddel,17.3792500198359,3,18446.9999999908,2.90016842734461e-11,rank,score_mode + use_diff + stage2 + use_stopword + adddel
stage2:use_stopword:adddel,0.123189469090961,6,18446.9999999984,0.993605643083953,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:stage2:use_stopword,4.09664317079335e-54,4,18447.000000011,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:stage2:adddel,0,12,18447.0000000038,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:use_stopword:adddel,0,6,18446.9999999984,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:stage2:use_stopword:adddel,0,12,18447.0000000038,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:stage2:use_stopword:adddel,0.699795824767858,6,18446.9999999984,0.64979980110748,rank,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:stage2:use_stopword:adddel,0,12,18447.0000000038,1,rank,score_mode + use_diff + stage2 + use_stopword + adddel
