Term,F,Df,Df.res,Pr(>F),DependentName,IVs
score_mode,2.483947945179e-51,2,18587.999999995,1,rank,score_mode
use_diff,87.6479769365514,1,18589.00000001,8.68914153817748e-21,rank,use_diff
use_stopword,7.3044369496941,1,18589.00000001,0.00688470182242132,rank,use_stopword
adddel,57.8396081704407,3,18587.0000000032,3.29420108058122e-37,rank,adddel
score_mode,1.87134048384078e-52,2,18584.9999999979,1,rank,score_mode + use_diff
use_diff,87.6291167508581,1,18584.9999999851,8.7721975550724e-21,rank,score_mode + use_diff
score_mode:use_diff,1.96566285777518e-55,2,18584.9999999979,1,rank,score_mode + use_diff
score_mode,1.33779305901018e-51,2,18585.000000017,1,rank,score_mode + use_stopword
use_stopword,7.30286520359781,1,18585.0000000106,0.00689072564453598,rank,score_mode + use_stopword
score_mode:use_stopword,1.10832219833655e-53,2,18585.000000017,1,rank,score_mode + use_stopword
score_mode,9.30314240431076e-52,2,18579.0000000012,1,rank,score_mode + adddel
adddel,57.8147135204861,3,18579.0000000165,3.41821891291473e-37,rank,score_mode + adddel
score_mode:adddel,0,6,18579.0000000012,1,rank,score_mode + adddel
use_diff,7.93496003840852,1,18587.0000000083,0.00485398181481459,rank,use_diff + use_stopword
use_stopword,22.2252128878458,1,18587.0000000083,2.4422727563143e-06,rank,use_diff + use_stopword
use_diff:use_stopword,140.326751350183,1,18587.0000000083,2.9501178762629e-32,rank,use_diff + use_stopword
use_diff,67.2614539562502,1,18583.0000000027,2.53124044546093e-16,rank,use_diff + adddel
adddel,39.839063659197,3,18582.9999999925,1.18343206170225e-25,rank,use_diff + adddel
use_diff:adddel,31.6213620627745,3,18582.9999999925,2.22247182871586e-20,rank,use_diff + adddel
use_stopword,0.888758092103549,1,18583.0000000027,0.345826330777805,rank,use_stopword + adddel
adddel,30.0770353740803,3,18583.0000000078,2.17419494576343e-19,rank,use_stopword + adddel
use_stopword:adddel,4.54165921211219,3,18582.9999999925,0.00347022463887185,rank,use_stopword + adddel
score_mode,3.76113901617568e-53,2,18578.9999999821,1,rank,score_mode + use_diff + use_stopword
use_diff,7.93154478948857,1,18579.0000000012,0.0048631502756996,rank,score_mode + use_diff + use_stopword
use_stopword,22.2156469723199,1,18579.0000000012,2.4544638896461e-06,rank,score_mode + use_diff + use_stopword
score_mode:use_diff,1.04670515987421e-52,2,18578.9999999821,1,rank,score_mode + use_diff + use_stopword
score_mode:use_stopword,4.16770414056372e-54,2,18578.9999999821,1,rank,score_mode + use_diff + use_stopword
use_diff:use_stopword,140.266353572645,1,18579.0000000012,3.04086760464629e-32,rank,score_mode + use_diff + use_stopword
score_mode:use_diff:use_stopword,4.16767326343059e-54,2,18578.9999999821,1,rank,score_mode + use_diff + use_stopword
score_mode,3.23372682716388e-52,2,18567.000000004,1,rank,score_mode + use_diff + adddel
use_diff,67.2035415354705,1,18567.0000000167,2.60656206643002e-16,rank,score_mode + use_diff + adddel
adddel,39.804762144241,3,18566.9999999963,1.24518317293627e-25,rank,score_mode + use_diff + adddel
score_mode:use_diff,2.90800996878751e-51,2,18567.000000004,1,rank,score_mode + use_diff + adddel
score_mode:adddel,0,6,18566.9999999944,1,rank,score_mode + use_diff + adddel
use_diff:adddel,31.5941360016955,3,18567.0000000116,2.31389759615435e-20,rank,score_mode + use_diff + adddel
score_mode:use_diff:adddel,0,6,18566.9999999944,1,rank,score_mode + use_diff + adddel
score_mode,1.5107560288624e-52,2,18567.000000004,1,rank,score_mode + use_stopword + adddel
use_stopword,0.887992868110491,1,18566.9999999912,0.346034062372358,rank,score_mode + use_stopword + adddel
adddel,30.0511389881626,3,18566.9999999963,2.25914771827264e-19,rank,score_mode + use_stopword + adddel
score_mode:use_stopword,0,2,18567.000000004,1,rank,score_mode + use_stopword + adddel
score_mode:adddel,0,6,18567.000000004,1,rank,score_mode + use_stopword + adddel
use_stopword:adddel,4.5377488342304,3,18566.9999999963,0.00348931189594107,rank,score_mode + use_stopword + adddel
score_mode:use_stopword:adddel,0,6,18567.000000004,1,rank,score_mode + use_stopword + adddel
use_diff,4.45214714162347,1,18574.9999999927,0.0348707304295733,rank,use_diff + use_stopword + adddel
use_stopword,51.5827393134125,1,18574.9999999927,7.12383149872937e-13,rank,use_diff + use_stopword + adddel
adddel,28.4442185016991,3,18575.000000008,2.42216679776052e-18,rank,use_diff + use_stopword + adddel
use_diff:use_stopword,47.3600217033782,1,18574.9999999927,6.09596216721264e-12,rank,use_diff + use_stopword + adddel
use_diff:adddel,19.9961422580498,3,18575.0000000233,6.19476809079486e-13,rank,use_diff + use_stopword + adddel
use_stopword:adddel,8.57498548308069,3,18575.000000008,1.09796033005337e-05,rank,use_diff + use_stopword + adddel
use_diff:use_stopword:adddel,18.0376093742943,3,18575.000000008,1.10260692714152e-11,rank,use_diff + use_stopword + adddel
score_mode,3.03378945629532e-52,2,18543.000000006,1,rank,score_mode + use_diff + use_stopword + adddel
use_diff,4.44447722528264,1,18542.9999999996,0.0350276894799582,rank,score_mode + use_diff + use_stopword + adddel
use_stopword,51.4938753727034,1,18542.9999999996,7.4532307533371e-13,rank,score_mode + use_diff + use_stopword + adddel
adddel,28.3952162568914,3,18542.9999999945,2.60427689013096e-18,rank,score_mode + use_diff + use_stopword + adddel
score_mode:use_diff,6.18594677880289e-54,2,18543.000000006,1,rank,score_mode + use_diff + use_stopword + adddel
score_mode:use_stopword,6.18594677880289e-54,2,18543.000000006,1,rank,score_mode + use_diff + use_stopword + adddel
use_diff:use_stopword,47.278432433586,1,18542.9999999996,6.35472312548769e-12,rank,score_mode + use_diff + use_stopword + adddel
score_mode:adddel,0,6,18542.9999999964,1,rank,score_mode + use_diff + use_stopword + adddel
use_diff:adddel,19.9616940417475,3,18542.9999999793,6.5172956790896e-13,rank,score_mode + use_diff + use_stopword + adddel
use_stopword:adddel,8.56021296361391,3,18542.9999999793,1.12164452877326e-05,rank,score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:use_stopword,6.18594677880289e-54,2,18543.000000006,1,rank,score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:adddel,0,6,18542.9999999964,1,rank,score_mode + use_diff + use_stopword + adddel
score_mode:use_stopword:adddel,0,6,18542.9999999964,1,rank,score_mode + use_diff + use_stopword + adddel
use_diff:use_stopword:adddel,18.006535163619,3,18542.9999999945,1.15417875962117e-11,rank,score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:use_stopword:adddel,0,6,18542.9999999964,1,rank,score_mode + use_diff + use_stopword + adddel
