Term,F,Df,Df.res,Pr(>F),DependentName,IVs
stage2,19.60065765485,2,18446.9999999984,3.13743374703435e-09,rank,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode,3.20658108820621e-52,2,18447.0000000173,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
use_diff,4.55035501865456,1,18447.000000011,0.0329250805573101,rank,stage2 + score_mode + use_diff + use_stopword + adddel
use_stopword,30.6930878988667,1,18446.9999999858,3.06370233613877e-08,rank,stage2 + score_mode + use_diff + use_stopword + adddel
adddel,32.5856835370336,3,18446.9999999908,5.35346047876693e-21,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode,0,4,18447.000000011,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_diff,0.201067654910731,2,18447.0000000173,0.817858890013885,rank,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_diff,3.20650432918135e-52,2,18447.0000000173,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_stopword,1.00662196500233,2,18446.9999999984,0.365471477665576,rank,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_stopword,0,2,18447.0000000173,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
use_diff:use_stopword,58.8574969026501,1,18446.9999999858,1.77926180588777e-14,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:adddel,0.284759116264991,6,18447.0000000173,0.944450681848742,rank,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:adddel,0,6,18446.9999999984,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
use_diff:adddel,18.794091891109,3,18447.0000000059,3.6290239348635e-12,rank,stage2 + score_mode + use_diff + use_stopword + adddel
use_stopword:adddel,8.8288053021442,3,18447.0000000059,7.60999759600606e-06,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_diff,0,4,18447.000000011,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_stopword,0,4,18447.000000011,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_diff:use_stopword,0.137038159353817,2,18446.9999999984,0.871937840589489,rank,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:use_stopword,0,2,18447.0000000173,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:adddel,0,12,18447.0000000038,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_diff:adddel,0.0476285639768296,6,18446.9999999984,0.999562912689973,rank,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:adddel,0,6,18446.9999999984,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_stopword:adddel,0.123189469384016,6,18446.9999999984,0.993605643042456,rank,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_stopword:adddel,0,6,18446.9999999984,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
use_diff:use_stopword:adddel,17.3792500198359,3,18446.9999999908,2.90016842734457e-11,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_diff:use_stopword,0,4,18447.000000011,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_diff:adddel,0,12,18447.0000000038,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_stopword:adddel,0,12,18447.0000000038,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:use_diff:use_stopword:adddel,0.699795824767858,6,18446.9999999984,0.649799801107481,rank,stage2 + score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:use_stopword:adddel,0,6,18446.9999999984,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
stage2:score_mode:use_diff:use_stopword:adddel,0,12,18447.0000000038,1,rank,stage2 + score_mode + use_diff + use_stopword + adddel
