Term,F,Df,Df.res,Pr(>F),DependentName,IVs
score_mode,24.9179843769811,2,18587.999999995,1.55861195280522e-11,num_iters,score_mode
use_diff,69.8660124752727,1,18589.00000001,6.78946589782507e-17,num_iters,use_diff
use_stopword,24.0359184998493,1,18588.9999999845,9.5352758971059e-07,num_iters,use_stopword
adddel,14.2388789967436,3,18587.0000000032,2.89355033273699e-09,num_iters,adddel
score_mode,19.0193760977808,2,18584.9999999979,5.60313983840813e-09,num_iters,score_mode + use_diff
use_diff,214.853770004528,1,18584.9999999851,2.23396290362798e-48,num_iters,score_mode + use_diff
score_mode:use_diff,9.95445064110028,2,18584.9999999979,4.77695252851762e-05,num_iters,score_mode + use_diff
score_mode,24.9940863033242,2,18584.9999999979,1.44470179570394e-11,num_iters,score_mode + use_stopword
use_stopword,4.40151920138198,1,18584.9999999851,0.035920397762296,num_iters,score_mode + use_stopword
score_mode:use_stopword,2.62152716000209,2,18584.9999999979,0.0727186461051982,num_iters,score_mode + use_stopword
score_mode,25.633700627444,2,18579.0000000012,7.63408224979383e-12,num_iters,score_mode + adddel
adddel,39.5714499931835,3,18579.0000000165,1.75774019401876e-25,num_iters,score_mode + adddel
score_mode:adddel,2.0278001332446,6,18578.9999999916,0.0584058875435323,num_iters,score_mode + adddel
use_diff,72.6131324142728,1,18587.0000000083,1.69615048058151e-17,num_iters,use_diff + use_stopword
use_stopword,21.1162881100468,1,18586.9999999827,4.35079360310922e-06,num_iters,use_diff + use_stopword
use_diff:use_stopword,14.6977612136017,1,18586.9999999827,0.000126612188486573,num_iters,use_diff + use_stopword
use_diff,1.78744044096578,1,18583.0000000027,0.181254696944738,num_iters,use_diff + adddel
adddel,11.7204731601299,3,18582.9999999925,1.14406638952356e-07,num_iters,use_diff + adddel
use_diff:adddel,11.5673145324866,3,18582.9999999925,1.43000640273161e-07,num_iters,use_diff + adddel
use_stopword,25.0814650669492,1,18583.0000000027,5.54620885242089e-07,num_iters,use_stopword + adddel
adddel,15.4761554433905,3,18582.9999999925,4.72754954069151e-10,num_iters,use_stopword + adddel
use_stopword:adddel,6.95064759071419,3,18583.0000000078,0.000113601425220587,num_iters,use_stopword + adddel
score_mode,75.9400567393501,2,18579.0000000204,1.42471018858838e-33,num_iters,score_mode + use_diff + use_stopword
use_diff,209.31584108366,1,18579.0000000012,3.49695643212447e-47,num_iters,score_mode + use_diff + use_stopword
use_stopword,24.0720038853185,1,18579.0000000012,9.35851389494096e-07,num_iters,score_mode + use_diff + use_stopword
score_mode:use_diff,19.8646871956057,2,18579.0000000012,2.41038806252321e-09,num_iters,score_mode + use_diff + use_stopword
score_mode:use_stopword,19.8489073024486,2,18579.0000000012,2.44864299393488e-09,num_iters,score_mode + use_diff + use_stopword
use_diff:use_stopword,3.03549622573217,1,18579.0000000268,0.0814781853272812,num_iters,score_mode + use_diff + use_stopword
score_mode:use_diff:use_stopword,31.4656725981217,2,18579.0000000012,2.27889210111521e-14,num_iters,score_mode + use_diff + use_stopword
score_mode,178.280679608078,2,18567.000000004,2.03118933595207e-77,num_iters,score_mode + use_diff + adddel
use_diff,186.26354754702,1,18566.9999999912,3.32394913773525e-42,num_iters,score_mode + use_diff + adddel
adddel,72.6569401745147,3,18566.9999999963,1.03398311978458e-46,num_iters,score_mode + use_diff + adddel
score_mode:use_diff,46.8036549564233,2,18566.9999999848,5.30271789208856e-21,num_iters,score_mode + use_diff + adddel
score_mode:adddel,14.8698112480241,6,18566.9999999944,4.85322542393943e-17,num_iters,score_mode + use_diff + adddel
use_diff:adddel,71.5958167455523,3,18566.9999999963,4.95087095384543e-46,num_iters,score_mode + use_diff + adddel
score_mode:use_diff:adddel,18.1877033292836,6,18566.9999999944,3.60279942937116e-21,num_iters,score_mode + use_diff + adddel
score_mode,7.0548265617662,2,18567.000000004,0.000865548346205618,num_iters,score_mode + use_stopword + adddel
use_stopword,23.5713148470114,1,18566.9999999912,1.21347450748592e-06,num_iters,score_mode + use_stopword + adddel
adddel,43.4230974215673,3,18566.9999999963,5.91987579210985e-28,num_iters,score_mode + use_stopword + adddel
score_mode:use_stopword,0.911661447240539,2,18567.000000004,0.401873994294687,num_iters,score_mode + use_stopword + adddel
score_mode:adddel,2.45640146902921,6,18567.000000004,0.0224283372493849,num_iters,score_mode + use_stopword + adddel
use_stopword:adddel,0.425338444134558,3,18567.0000000116,0.734838456731024,num_iters,score_mode + use_stopword + adddel
score_mode:use_stopword:adddel,4.63698976696204,6,18567.000000004,0.000102288801930228,num_iters,score_mode + use_stopword + adddel
use_diff,262.552660281352,1,18575.0000000182,1.20315431038094e-58,num_iters,use_diff + use_stopword + adddel
use_stopword,303.066407872775,1,18575.0000000182,2.4228550715542e-67,num_iters,use_diff + use_stopword + adddel
adddel,19.6672623711889,3,18575.000000008,1.00487674454946e-12,num_iters,use_diff + use_stopword + adddel
use_diff:use_stopword,181.40070528395,1,18574.9999999927,3.73937668271864e-41,num_iters,use_diff + use_stopword + adddel
use_diff:adddel,22.747187171386,3,18575.000000008,1.07919995269634e-14,num_iters,use_diff + use_stopword + adddel
use_stopword:adddel,62.0780357069276,3,18575.000000008,6.28484805062514e-40,num_iters,use_diff + use_stopword + adddel
use_diff:use_stopword:adddel,43.3351091058186,3,18574.9999999927,6.74156300962127e-28,num_iters,use_diff + use_stopword + adddel
score_mode,97.5553926495721,2,18542.9999999869,7.13802921583095e-43,num_iters,score_mode + use_diff + use_stopword + adddel
use_diff,89.5577911652066,1,18543.000000025,3.32500982987992e-21,num_iters,score_mode + use_diff + use_stopword + adddel
use_stopword,74.9702317094781,1,18542.9999999996,5.16413177683793e-18,num_iters,score_mode + use_diff + use_stopword + adddel
adddel,32.7363832763343,3,18543.000000025,4.28225005640281e-21,num_iters,score_mode + use_diff + use_stopword + adddel
score_mode:use_diff,54.0216485809087,2,18543.000000025,4.04372861738568e-24,num_iters,score_mode + use_diff + use_stopword + adddel
score_mode:use_stopword,27.6191380412955,2,18542.9999999869,1.05436562372653e-12,num_iters,score_mode + use_diff + use_stopword + adddel
use_diff:use_stopword,65.4748114834791,1,18542.9999999996,6.24645520715898e-16,num_iters,score_mode + use_diff + use_stopword + adddel
score_mode:adddel,17.0034985330795,6,18542.9999999964,1.08100812890982e-19,num_iters,score_mode + use_diff + use_stopword + adddel
use_diff:adddel,32.8615757555284,3,18542.9999999945,3.55922152567017e-21,num_iters,score_mode + use_diff + use_stopword + adddel
use_stopword:adddel,15.9518668180319,3,18542.9999999945,2.35420662806479e-10,num_iters,score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:use_stopword,23.9633529993373,2,18542.9999999869,4.03900312276991e-11,num_iters,score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:adddel,19.166209013409,6,18543.000000006,2.15741519845157e-22,num_iters,score_mode + use_diff + use_stopword + adddel
score_mode:use_stopword:adddel,8.82012321762038,6,18542.9999999869,1.25717093263414e-09,num_iters,score_mode + use_diff + use_stopword + adddel
use_diff:use_stopword:adddel,16.1384321710602,3,18543.0000000098,1.79078022090759e-10,num_iters,score_mode + use_diff + use_stopword + adddel
score_mode:use_diff:use_stopword:adddel,7.74312019016821,6,18542.9999999869,2.45804443796928e-08,num_iters,score_mode + use_diff + use_stopword + adddel
