Term,F,Df,Df.res,Pr(>F),DependentName,IVs
score_mode,38.815012013657,2,18446.9999999984,1.507387849456e-17,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff,92.1592931125475,1,18447.000000011,8.99173377898144e-22,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
stage2,85.3708101264996,2,18446.9999999984,1.24297102904657e-37,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
use_stopword,55.4564919054879,1,18447.000000011,9.97573780914054e-14,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
adddel,27.3680804411582,3,18446.9999999908,1.18637265422823e-17,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff,33.4394352786361,2,18447.0000000173,3.18933260795502e-15,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:stage2,8.13777334081815,4,18447.000000011,1.49471842081083e-06,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:stage2,2.35194501255959,2,18446.9999999984,0.0952123901906886,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_stopword,17.0875939834454,2,18446.9999999984,3.85316775853271e-08,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:use_stopword,46.9393187985377,1,18447.000000011,7.55294460619083e-12,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
stage2:use_stopword,2.04281360057385,2,18447.0000000173,0.129692707702206,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:adddel,9.00236319618325,6,18446.9999999984,7.58168358991772e-10,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:adddel,26.8632994192115,3,18447.0000000059,2.49852661306262e-17,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
stage2:adddel,0.811829681976591,6,18447.0000000173,0.56047956898608,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
use_stopword:adddel,9.4442182414748,3,18446.9999999908,3.12404565222079e-06,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:stage2,1.26253493448984,4,18447.000000011,0.282233621643483,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:use_stopword,21.8904132320678,2,18446.9999999984,3.19431689995645e-10,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:stage2:use_stopword,1.17726977847229,4,18447.000000011,0.318509267588925,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:stage2:use_stopword,0.680672776683325,2,18447.0000000173,0.506288982079344,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:adddel,9.17829890454839,6,18446.9999999984,4.64905380619033e-10,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:stage2:adddel,0.611740888936457,12,18447.0000000038,0.834251281150219,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:stage2:adddel,0.623204916320007,6,18447.0000000173,0.711912681593706,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_stopword:adddel,4.94536233499341,6,18446.9999999984,4.57802726242121e-05,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:use_stopword:adddel,7.20954463655317,3,18446.9999999908,7.83811039847598e-05,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
stage2:use_stopword:adddel,0.473791735443423,6,18446.9999999984,0.828297897138637,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:stage2:use_stopword,3.27107038690937,4,18446.9999999858,0.0108897786624765,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:stage2:adddel,0.590270368637617,12,18446.9999999876,0.852026051130659,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:use_stopword:adddel,4.56211713574647,6,18446.9999999984,0.0001242085504261,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:stage2:use_stopword:adddel,0.364024416123035,12,18447.0000000038,0.975821524922595,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
use_diff:stage2:use_stopword:adddel,0.276033619110492,6,18446.9999999984,0.948444354766207,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
score_mode:use_diff:stage2:use_stopword:adddel,0.426156044816395,12,18446.9999999876,0.954042987795419,num_iters,score_mode + use_diff + stage2 + use_stopword + adddel
