Target metric :  MRR
frozenset({('diff_type', 'greedy_id'), ('diff_tool', 'gumtree'), ('use_br', False), ('beta', 1.6), ('tracker', 'git'), ('use_id', True), ('adddel', 'all_uni'), ('stage2', 'precise')}) 0.6136188368084555
frozenset({('diff_type', 'greedy_id'), ('diff_tool', 'gumtree'), ('use_br', False), ('tracker', 'git'), ('beta', 2.0), ('use_id', True), ('adddel', 'all_uni'), ('stage2', 'precise')}) 0.6136021959905462
frozenset({('diff_type', 'greedy_id'), ('diff_tool', 'gumtree'), ('use_br', False), ('tracker', 'git'), ('beta', 1.8), ('use_id', True), ('adddel', 'all_uni'), ('stage2', 'precise')}) 0.6135853690150033
frozenset({('diff_type', 'greedy_id'), ('diff_tool', 'gumtree'), ('use_br', False), ('beta', 1.4), ('tracker', 'git'), ('use_id', True), ('adddel', 'all_uni'), ('stage2', 'precise')}) 0.6134594269775915
frozenset({('diff_type', 'greedy_id'), ('beta', 1.2), ('diff_tool', 'gumtree'), ('use_br', False), ('tracker', 'git'), ('use_id', True), ('adddel', 'all_uni'), ('stage2', 'precise')}) 0.6125377729926178
frozenset({('diff_type', 'greedy_id'), ('diff_tool', 'gumtree'), ('adddel', 'add'), ('use_br', False), ('tracker', 'git'), ('beta', 1.8), ('use_id', True), ('stage2', 'precise')}) 0.611293226598969
frozenset({('diff_type', 'greedy_id'), ('diff_tool', 'gumtree'), ('adddel', 'add'), ('use_br', False), ('tracker', 'git'), ('beta', 2.0), ('use_id', True), ('stage2', 'precise')}) 0.6112618825674367
frozenset({('diff_type', 'greedy_id'), ('diff_tool', 'gumtree'), ('adddel', 'add'), ('use_br', False), ('beta', 1.6), ('tracker', 'git'), ('use_id', True), ('stage2', 'precise')}) 0.6110893447819682
frozenset({('diff_type', 'greedy_id'), ('diff_tool', 'gumtree'), ('adddel', 'add'), ('use_br', False), ('beta', 1.4), ('tracker', 'git'), ('use_id', True), ('stage2', 'precise')}) 0.6093285104868874
frozenset({('diff_type', 'greedy_id'), ('beta', 1.2), ('diff_tool', 'gumtree'), ('adddel', 'add'), ('use_br', False), ('tracker', 'git'), ('use_id', True), ('stage2', 'precise')}) 0.6088002619651987
frozenset({('diff_type', 'greedy_id'), ('beta', 1.0), ('adddel', 'all_uni'), ('use_br', False), ('tracker', 'git'), ('use_id', True), ('stage2', 'precise'), ('diff_tool', 'gumtree')}) 0.608564484580117
